Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.006496056761377224,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Merge Intervals,95.2,0.005257660987052711,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Valid Parentheses,81.9,0.004472567007912034,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,LRU Cache,81.9,0.004786895677649352,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,The Skyline Problem,81.9,0.004577321766966395,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Sweep Line, Sorting, Heap (Priority Queue), Ordered Set"
EASY,Valid Anagram,71.3,0.0068532467520360085,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
EASY,Remove Duplicates from Sorted Array,71.3,0.006356314692353561,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Group Anagrams,71.3,0.007312905429484083,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Minimum Add to Make Parentheses Valid,71.3,0.007427570442540657,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy, Bracket Sequences"
MEDIUM,Maximum Product Subarray,71.3,0.0036892249411700695,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Angle Between Hands of a Clock,71.3,0.006987956660087807,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
MEDIUM,Single Number III,71.3,0.007014413185387291,https://leetcode.com/problems/single-number-iii,"Array, Bit Manipulation"
MEDIUM,Top K Frequent Elements,71.3,0.006713902078162962,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Rotate Array,71.3,0.004532009250771366,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Merge Two Sorted Lists,71.3,0.006874755196938832,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
