Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Peaks in Array,100.0,0.0028111490082770307,https://leetcode.com/problems/peaks-in-array,"Array, Binary Indexed Tree, Segment Tree"
MEDIUM,Minimized Maximum of Products Distributed to Any Store,100.0,0.006322576549337968,https://leetcode.com/problems/minimized-maximum-of-products-distributed-to-any-store,"Array, Binary Search, Greedy"
MEDIUM,Number of Islands,96.6,0.006496056761377224,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Merge Intervals,88.2,0.005257660987052711,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Valid Parentheses,82.5,0.004472567007912034,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,The Skyline Problem,75.3,0.004577321766966395,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Sweep Line, Sorting, Heap (Priority Queue), Ordered Set"
MEDIUM,LRU Cache,75.3,0.004786895677649352,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Merge Two Sorted Lists,65.1,0.006874755196938832,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
EASY,Valid Anagram,65.1,0.0068532467520360085,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Angle Between Hands of a Clock,65.1,0.006987956660087807,https://leetcode.com/problems/angle-between-hands-of-a-clock,Math
EASY,Remove Duplicates from Sorted Array,65.1,0.006356314692353561,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Group Anagrams,65.1,0.007312905429484083,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Minimum Add to Make Parentheses Valid,65.1,0.007427570442540657,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,"String, Stack, Greedy, Bracket Sequences"
MEDIUM,Maximum Product Subarray,65.1,0.0036892249411700695,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
MEDIUM,Single Number III,65.1,0.007014413185387291,https://leetcode.com/problems/single-number-iii,"Array, Bit Manipulation"
MEDIUM,Top K Frequent Elements,65.1,0.006713902078162962,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Rotate Array,65.1,0.004532009250771366,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Clone Graph,65.1,0.006597987956084482,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Strong Password Checker,65.1,0.0016265791262282858,https://leetcode.com/problems/strong-password-checker,"String, Greedy, Heap (Priority Queue)"
EASY,Best Time to Buy and Sell Stock,65.1,0.005725130462146871,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Reverse String,65.1,0.008119743168103375,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
