Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Binary Tree Zigzag Level Order Traversal,100.0,0.006432911360443735,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
EASY,Best Time to Buy and Sell Stock,91.9,0.005725130462146871,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Reverse Nodes in k-Group,80.4,0.006696565534408489,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Boats to Save People,80.4,0.006229804706306254,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting, Timsort"
EASY,Valid Parentheses,80.4,0.004472567007912034,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Min Stack,80.4,0.005855050147091271,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Best Time to Buy and Sell Stock II,80.4,0.007150185791137485,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
EASY,Move Zeroes,80.4,0.0064265471738974836,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Rotting Oranges,80.4,0.005927618843116087,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Group Anagrams,80.4,0.007312905429484083,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Number of Islands,80.4,0.006496056761377224,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Next Greater Element II,80.4,0.006900569943097765,https://leetcode.com/problems/next-greater-element-ii,"Array, Stack, Monotonic Stack"
