Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Islands,100.0,0.006496056761377224,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Making A Large Island,98.0,0.005708592445368767,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Bus Routes,98.0,0.004749636741898681,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
MEDIUM,Number of Distinct Islands,98.0,0.006293684389514852,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
MEDIUM,Basic Calculator II,93.4,0.004708543633336923,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
HARD,Bricks Falling When Hit,93.4,0.003773652536457449,https://leetcode.com/problems/bricks-falling-when-hit,"Array, Union-Find, Matrix"
MEDIUM,Course Schedule II,87.7,0.0056088186604429,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,LRU Cache,84.3,0.004786895677649352,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Meeting Rooms II,80.4,0.005277670537160305,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Word Ladder,80.4,0.00463263270478461,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
HARD,Minimum Window Substring,75.8,0.00482551182418317,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Best Meeting Point,75.8,0.006143219217419532,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
HARD,Best Time to Buy and Sell Stock III,75.8,0.005451235720995222,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
MEDIUM,Decode Ways,70.2,0.003844583527724549,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Merge Intervals,70.2,0.005257660987052711,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Evaluate Division,70.2,0.0064507432857075706,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
HARD,Basic Calculator III,70.2,0.0053496846483939145,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Top K Frequent Elements,70.2,0.006713902078162962,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Escape the Spreading Fire,70.2,0.003905167008422444,https://leetcode.com/problems/escape-the-spreading-fire,"Array, Binary Search, Breadth-First Search, Matrix"
MEDIUM,Word Search,63.0,0.004794684352843019,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Course Schedule,63.0,0.005204037119663144,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Design Log Storage System,63.0,0.00596632503660322,https://leetcode.com/problems/design-log-storage-system,"Hash Table, String, Design, Ordered Set"
MEDIUM,Reorder List,63.0,0.0066000743539676564,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
HARD,Word Search II,63.0,0.0038787560341764053,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Basic Calculator,63.0,0.004711213771316073,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
