Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Minimum Number of Steps to Make Two Strings Anagram,100.0,0.008258013795292098,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
MEDIUM,Longest Mountain in Array,91.6,0.004245355751895052,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
HARD,Minimum Window Substring,86.1,0.00482551182418317,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Insert Delete GetRandom O(1),86.1,0.0055486124502258415,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Asteroid Collision,78.9,0.0048763372367896275,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Maximum Number of Non-overlapping Palindrome Substrings,78.9,0.00450312796829452,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings,"Two Pointers, String, Dynamic Programming, Greedy"
MEDIUM,Top K Frequent Elements,78.9,0.006713902078162962,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Number of Islands,68.9,0.006496056761377224,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Degree of an Array,68.9,0.0058602424860898505,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,LRU Cache,68.9,0.004786895677649352,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Merge k Sorted Lists,68.9,0.00602940576003699,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
HARD,Word Ladder,68.9,0.00463263270478461,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
