Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Moving Average from Data Stream,100.0,0.008022841921995209,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
MEDIUM,Analyze User Website Visit Pattern,82.4,0.0044332494543415715,https://leetcode.com/problems/analyze-user-website-visit-pattern,"Array, Hash Table, String, Sorting"
EASY,Two Sum,80.1,0.0058009587458191314,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Kth Largest Element in an Array,80.1,0.00692437355192037,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Valid Parentheses,77.5,0.004472567007912034,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Longest Substring Without Repeating Characters,70.8,0.003977959161405498,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Sliding Window Median,66.4,0.003908073684660426,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue), Treap"
EASY,Ransom Note,60.8,0.006631443973009322,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
EASY,Fibonacci Number,60.8,0.007452186471512558,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
HARD,Find Median from Data Stream,52.8,0.005487695459974172,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
EASY,Maximum Depth of Binary Tree,52.8,0.007852251440099663,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
