Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Maximum Score of Non-overlapping Intervals,100.0,0.003093430174975239,https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals,"Array, Binary Search, Dynamic Programming, Sorting"
EASY,Isomorphic Strings,77.5,0.004892124216368,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Subarray Sum Equals K,77.5,0.004798002206618708,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Asteroid Collision,70.5,0.0048763372367896275,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
HARD,Create Components With Same Value,70.5,0.005408242082784316,https://leetcode.com/problems/create-components-with-same-value,"Array, Math, Tree, Depth-First Search, Enumeration"
MEDIUM,Sum of Subarray Minimums,70.5,0.0038950190534530905,https://leetcode.com/problems/sum-of-subarray-minimums,"Array, Dynamic Programming, Stack, Monotonic Stack"
HARD,Odd Even Jump,70.5,0.004146605166338682,https://leetcode.com/problems/odd-even-jump,"Array, Dynamic Programming, Stack, Sorting, Monotonic Stack, Ordered Set"
HARD,Cherry Pickup II,70.5,0.007259666512831831,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
HARD,Regular Expression Matching,60.6,0.0031576419856772986,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Max Points on a Line,60.6,0.003125540972400922,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry, Euclidean Algorithm, Greatest Common Divisor"
HARD,Student Attendance Record II,60.6,0.005686391357379334,https://leetcode.com/problems/student-attendance-record-ii,Dynamic Programming
MEDIUM,Shortest Path with Alternating Colors,60.6,0.004824543765774255,https://leetcode.com/problems/shortest-path-with-alternating-colors,"Breadth-First Search, Graph Theory"
HARD,Find Median from Data Stream,60.6,0.005487695459974172,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Longest Univalue Path,60.6,0.004433913064915904,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree, DP on Trees"
HARD,Maximal Rectangle,60.6,0.005959549810563851,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Maximum Sum Circular Subarray,60.6,0.005115705754723952,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
HARD,Longest Valid Parentheses,60.6,0.003950310865355642,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
HARD,Frog Jump,60.6,0.004754536438928945,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,132 Pattern,60.6,0.0035032694454801504,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
HARD,Sliding Window Maximum,60.6,0.004910893954264202,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Validate Stack Sequences,60.6,0.007067041867754432,https://leetcode.com/problems/validate-stack-sequences,"Array, Stack, Simulation"
MEDIUM,House Robber III,60.6,0.005622344244984161,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
HARD,Trapping Rain Water,60.6,0.006802853937837948,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
