Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Search Suggestions System,100.0,0.006523464791026415,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
MEDIUM,Maximum Xor Product,93.7,0.00305721499182135,https://leetcode.com/problems/maximum-xor-product,"Math, Greedy, Bit Manipulation"
MEDIUM,Subarray Product Less Than K,85.3,0.005485874518051174,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Number of Perfect Pairs,85.3,0.0034627465946453734,https://leetcode.com/problems/number-of-perfect-pairs,"Array, Math, Two Pointers, Sorting"
MEDIUM,LRU Cache,79.7,0.004786895677649352,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Basic Calculator,79.7,0.004711213771316073,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Trapping Rain Water,79.7,0.006802853937837948,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Best Time to Buy and Sell Stock,72.5,0.005725130462146871,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Maximum Subarray,72.5,0.005373544086224044,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Increasing Subsequence,72.5,0.005984864518378644,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
HARD,Frog Jump,72.5,0.004754536438928945,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,Longest Non-decreasing Subarray From Two Arrays,72.5,0.003149918742111385,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
MEDIUM,Count Ways To Build Good Strings,72.5,0.005884268138057586,https://leetcode.com/problems/count-ways-to-build-good-strings,Dynamic Programming
MEDIUM,Maximum Palindromes After Operations,72.5,0.0047082602094137595,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
MEDIUM,Merge In Between Linked Lists,72.5,0.008312766796484836,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
MEDIUM,Number of Islands,62.4,0.006496056761377224,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Group Anagrams,62.4,0.007312905429484083,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Find Valid Matrix Given Row and Column Sums,62.4,0.008256669084461637,https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums,"Array, Greedy, Matrix, Flow Network"
MEDIUM,Minimum Path Sum,62.4,0.006874283061219502,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimum Equal Sum of Two Arrays After Replacing Zeros,62.4,0.005007324913970859,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
HARD,Couples Holding Hands,62.4,0.005965861240251693,https://leetcode.com/problems/couples-holding-hands,"Greedy, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Minimum Sideway Jumps,62.4,0.005193363157405136,https://leetcode.com/problems/minimum-sideway-jumps,"Array, Dynamic Programming, Greedy"
