Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Calculate Amount Paid in Taxes,100.0,0.006946106395807244,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
MEDIUM,Invalid Transactions,93.2,0.003249842207510103,https://leetcode.com/problems/invalid-transactions,"Array, Hash Table, String, Sorting"
MEDIUM,Cheapest Flights Within K Stops,88.8,0.004241503605632959,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Brace Expansion,88.8,0.006685636909551191,https://leetcode.com/problems/brace-expansion,"String, Backtracking, Stack, Breadth-First Search, Sorting"
MEDIUM,Evaluate Division,83.5,0.006450732055500427,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
MEDIUM,Minimum Penalty for a Shop,76.7,0.0071243242281974675,https://leetcode.com/problems/minimum-penalty-for-a-shop,"String, Prefix Sum"
HARD,Parallel Courses III,67.1,0.006681007096628293,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,One Edit Distance,67.1,0.0034578134593774255,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
MEDIUM,Number of Black Blocks,67.1,0.004217931337705639,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Simple Bank System,67.1,0.006956899618246427,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
