Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005257660669053073,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Number of Islands,90.1,0.006496058388815681,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Basic Calculator II,90.1,0.004708546188788663,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
EASY,Best Time to Buy and Sell Stock,90.1,0.005725130163020525,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Design Circular Queue,86.8,0.005521270999876614,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
MEDIUM,Building H2O,86.8,0.005848964980544748,https://leetcode.com/problems/building-h2o,Concurrency
HARD,Trapping Rain Water,83.1,0.006802855007711623,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Reorganize String,78.6,0.005744944702900982,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Letter Combinations of a Phone Number,73.2,0.0066660050679582415,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
EASY,Valid Parentheses,73.2,0.0044725694053933795,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,3Sum,66.2,0.003969323310782407,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,LRU Cache,66.2,0.004786897731759751,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Top K Frequent Elements,66.2,0.006713902078162962,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Maximum Subarray,66.2,0.005373546704572653,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Two Sum,66.2,0.005800959051255636,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,56.4,0.003977958561102938,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Container With Most Water,56.4,0.006064831795786704,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Valid Anagram,56.4,0.006853247230010727,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Design Tic-Tac-Toe,56.4,0.005875690354305425,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
HARD,First Missing Positive,56.4,0.004354296734707934,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Rotate Image,56.4,0.00805702922089337,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Longest Consecutive Sequence,56.4,0.0047208393692346915,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Course Schedule,56.4,0.0052040387740405454,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
EASY,Happy Number,56.4,0.006011549984094302,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers, Floyd's Cycle Finding Algorithm"
HARD,Word Ladder,56.4,0.00463263270478461,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Evaluate Reverse Polish Notation,56.4,0.005848812662021592,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
MEDIUM,Shortest Bridge,56.4,0.00597095395782115,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,UTF-8 Validation,56.4,0.004654139715394567,https://leetcode.com/problems/utf-8-validation,"Array, Bit Manipulation"
MEDIUM,Evaluate Division,56.4,0.006450732055500427,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
EASY,Design Parking System,56.4,0.008718930508851891,https://leetcode.com/problems/design-parking-system,"Design, Simulation, Counting"
