Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786897731759751,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,91.2,0.006496058388815681,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,All O`one Data Structure,77.1,0.0044468123336383735,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Cheapest Flights Within K Stops,71.8,0.004241503605632959,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Merge Intervals,64.9,0.005257660669053073,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Course Schedule,64.9,0.0052040387740405454,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Longest Mountain in Array,64.9,0.004245355751895052,https://leetcode.com/problems/longest-mountain-in-array,"Array, Two Pointers, Dynamic Programming, Enumeration"
MEDIUM,Subsets,64.9,0.008271562716724228,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Possible Bipartition,64.9,0.005296183402081014,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Graph Coloring, Bipartite Graph"
MEDIUM,Gas Station,64.9,0.004855711121510959,https://leetcode.com/problems/gas-station,"Array, Greedy"
MEDIUM,Find First and Last Position of Element in Sorted Array,64.9,0.004950621761658031,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Path Sum III,64.9,0.0046589161574541035,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Number of Distinct Islands,64.9,0.006293698783787411,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
MEDIUM,Search in Rotated Sorted Array,64.9,0.004546232182132856,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Longest Substring with At Most K Distinct Characters,64.9,0.005010001189732608,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
HARD,Find Median from Data Stream,64.9,0.005487696550232968,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Kth Largest Element in an Array,55.2,0.006924372009498589,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Meeting Rooms II,55.2,0.005277678852456491,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,Decode String,55.2,0.006309057042491219,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Text Justification,55.2,0.005189791948559949,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Word Search,55.2,0.004794683701820248,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,Longest Valid Parentheses,55.2,0.003950308196340291,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
EASY,Best Time to Buy and Sell Stock,55.2,0.005725130163020525,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Spiral Matrix,55.2,0.00576272067573875,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Product of the Last K Numbers,55.2,0.006303289476787794,https://leetcode.com/problems/product-of-the-last-k-numbers,"Array, Math, Design, Data Stream, Prefix Sum"
MEDIUM,Rotate Array,55.2,0.0045320083725409015,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Design HashMap,55.2,0.006675582939787487,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
MEDIUM,Fruit Into Baskets,55.2,0.005215389676285773,https://leetcode.com/problems/fruit-into-baskets,"Array, Hash Table, Sliding Window"
MEDIUM,Top K Frequent Elements,55.2,0.006713902078162962,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Serialize and Deserialize N-ary Tree,55.2,0.006893844817759926,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,"String, Tree, Depth-First Search, Breadth-First Search"
HARD,Reverse Nodes in k-Group,55.2,0.006696566873224366,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
