Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786897731759751,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,97.3,0.006496058388815681,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Increasing Subsequence,89.7,0.00598486453478904,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
MEDIUM,Longest Substring Without Repeating Characters,87.2,0.003977958561102938,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Number of Distinct Islands,86.6,0.006293698783787411,https://leetcode.com/problems/number-of-distinct-islands,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Sorting, Matrix, Hash Function"
MEDIUM,Course Schedule II,85.9,0.005608822347545772,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
MEDIUM,Meeting Rooms II,83.8,0.005277678852456491,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Trapping Rain Water,83.0,0.006802855007711623,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Merge Intervals,83.0,0.005257660669053073,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Course Schedule,82.3,0.0052040387740405454,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Text Justification,79.7,0.005189791948559949,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Decode String,75.8,0.006309057042491219,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Longest Palindromic Substring,74.7,0.0038471146943177925,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Search in Rotated Sorted Array,74.7,0.004546232182132856,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
HARD,Minimum Window Substring,74.7,0.004825509164448245,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
MEDIUM,Word Search,74.7,0.004794683701820248,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
HARD,N-Queens,73.6,0.007626964926815796,https://leetcode.com/problems/n-queens,"Array, Backtracking, Algorithm X"
MEDIUM,3Sum,72.4,0.003969323310782407,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Spiral Matrix,71.1,0.00576272067573875,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Coin Change,71.1,0.004897343032370292,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Subarray Sum Equals K,71.1,0.004798005077872731,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Minimum Swaps to Group All 1's Together,71.1,0.006128295435117114,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,"Array, Sliding Window"
MEDIUM,Longest Consecutive Sequence,69.8,0.0047208393692346915,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
