Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.003977958985093826,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Valid Parentheses,88.3,0.004472570758542255,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Koko Eating Bananas,85.7,0.005039601473376103,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Cost For Tickets,82.6,0.006747676862466371,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Validate IP Address,82.6,0.0028461712813623785,https://leetcode.com/problems/validate-ip-address,String
MEDIUM,Minimum Length of Anagram Concatenation,79.1,0.003971273781025577,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
EASY,Baseball Game,74.9,0.008099072712347385,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,69.9,0.004434239094677281,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
MEDIUM,Longest Palindromic Substring,63.3,0.0038471195972214233,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Best Time to Buy and Sell Stock,63.3,0.005725131591964092,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Minimum Number of Operations to Satisfy Conditions,63.3,0.004197931870978352,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,"Array, Dynamic Programming, Matrix"
EASY,Two Sum,63.3,0.00580095815633082,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Arithmetic Subsequence,63.3,0.0050144418683204925,https://leetcode.com/problems/longest-arithmetic-subsequence,"Array, Hash Table, Binary Search, Dynamic Programming"
HARD,Minimum Adjacent Swaps for K Consecutive Ones,63.3,0.00425446365809082,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,"Array, Greedy, Sliding Window, Prefix Sum"
MEDIUM,Merge Intervals,54.1,0.005257660287454545,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Number of Islands,54.1,0.006496058615499655,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Subarray,54.1,0.00537354766773175,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Product of Array Except Self,54.1,0.00691645309116076,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Kth Largest Element in an Array,54.1,0.006924368505398895,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
EASY,Partition Array Into Three Parts With Equal Sum,54.1,0.004300643536193568,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
MEDIUM,Group Anagrams,54.1,0.0073129100197969945,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Find First and Last Position of Element in Sorted Array,54.1,0.0049506232035094215,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Race Car,54.1,0.004502465888541838,https://leetcode.com/problems/race-car,"Dynamic Programming, Heuristic Search, A* Search"
MEDIUM,Jump Game,54.1,0.004138482641484328,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,3Sum,54.1,0.003969325456585282,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Minimum Number of Operations to Make Word K-Periodic,54.1,0.006101428301768074,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,"Hash Table, String, Counting"
MEDIUM,Sum of Digit Differences of All Pairs,54.1,0.004292891622218782,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,"Array, Hash Table, Math, Counting"
HARD,Median of Two Sorted Arrays,54.1,0.004736985199552593,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
EASY,Count Square Sum Triples,54.1,0.007717145508075301,https://leetcode.com/problems/count-square-sum-triples,"Math, Enumeration"
MEDIUM,K Divisible Elements Subarrays,54.1,0.005515178590886307,https://leetcode.com/problems/k-divisible-elements-subarrays,"Array, Hash Table, Trie, Rolling Hash, Hash Function, Enumeration"
EASY,Degree of an Array,54.1,0.0058602424860898505,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
