Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.003977958985093826,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Validate IP Address,88.0,0.0028461712813623785,https://leetcode.com/problems/validate-ip-address,String
EASY,Valid Parentheses,85.6,0.004472570758542255,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Koko Eating Bananas,83.0,0.005039601473376103,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Cost For Tickets,80.0,0.006747676862466371,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Minimum Length of Anagram Concatenation,76.5,0.003971273781025577,https://leetcode.com/problems/minimum-length-of-anagram-concatenation,"Hash Table, String, Counting"
EASY,Baseball Game,72.4,0.008099072712347385,https://leetcode.com/problems/baseball-game,"Array, Stack, Simulation"
MEDIUM,Longest Arithmetic Subsequence,72.4,0.0050144418683204925,https://leetcode.com/problems/longest-arithmetic-subsequence,"Array, Hash Table, Binary Search, Dynamic Programming"
MEDIUM,Longest Palindromic Substring,67.4,0.0038471195972214233,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,67.4,0.004434239094677281,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
MEDIUM,Minimum Number of Operations to Satisfy Conditions,67.4,0.004197931870978352,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions,"Array, Dynamic Programming, Matrix"
HARD,Minimum Adjacent Swaps for K Consecutive Ones,67.4,0.00425446365809082,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,"Array, Greedy, Sliding Window, Prefix Sum"
MEDIUM,Number of Islands,60.9,0.006496058615499655,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Best Time to Buy and Sell Stock,60.9,0.005725131591964092,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Two Sum,60.9,0.00580095815633082,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Ugly Number II,60.9,0.004976015031656928,https://leetcode.com/problems/ugly-number-ii,"Hash Table, Math, Dynamic Programming, Heap (Priority Queue)"
MEDIUM,Maximum Subarray,51.8,0.00537354766773175,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Merge Intervals,51.8,0.005257660287454545,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Degree of an Array,51.8,0.0058602424860898505,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
MEDIUM,Product of Array Except Self,51.8,0.00691645309116076,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
EASY,Partition Array Into Three Parts With Equal Sum,51.8,0.004300643536193568,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum,"Array, Greedy"
MEDIUM,Kth Largest Element in an Array,51.8,0.006924368505398895,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Find First and Last Position of Element in Sorted Array,51.8,0.0049506232035094215,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
HARD,Race Car,51.8,0.004502465888541838,https://leetcode.com/problems/race-car,"Dynamic Programming, Heuristic Search, A* Search"
MEDIUM,Jump Game,51.8,0.004138482641484328,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Minimum Number of Operations to Make Word K-Periodic,51.8,0.006101428301768074,https://leetcode.com/problems/minimum-number-of-operations-to-make-word-k-periodic,"Hash Table, String, Counting"
MEDIUM,Group Anagrams,51.8,0.0073129100197969945,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Sum of Digit Differences of All Pairs,51.8,0.004292891622218782,https://leetcode.com/problems/sum-of-digit-differences-of-all-pairs,"Array, Hash Table, Math, Counting"
MEDIUM,3Sum,51.8,0.003969325456585282,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Median of Two Sorted Arrays,51.8,0.004736985199552593,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,K Divisible Elements Subarrays,51.8,0.005515178590886307,https://leetcode.com/problems/k-divisible-elements-subarrays,"Array, Hash Table, Trie, Rolling Hash, Hash Function, Enumeration"
EASY,Count Square Sum Triples,51.8,0.007717145508075301,https://leetcode.com/problems/count-square-sum-triples,"Math, Enumeration"
MEDIUM,Non-decreasing Array,51.8,0.0025562804043440706,https://leetcode.com/problems/non-decreasing-array,Array
HARD,Minimum Cost Walk in Weighted Graph,51.8,0.006799191883590957,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,"Array, Bit Manipulation, Union-Find, Graph Theory"
HARD,Permutation Sequence,51.8,0.0054000612918890115,https://leetcode.com/problems/permutation-sequence,"Math, Recursion"
