Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Multiply Strings,100.0,0.004462395811409853,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
HARD,Word Search II,100.0,0.0038787521659781653,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
HARD,Parallel Courses III,95.4,0.006681007096628293,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Merge k Sorted Lists,82.3,0.006029411849278554,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Random Pick with Weight,82.3,0.004921190432880283,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
HARD,Minimum Space Wasted From Packaging,82.3,0.003374687595519356,https://leetcode.com/problems/minimum-space-wasted-from-packaging,"Array, Binary Search, Sorting, Prefix Sum"
MEDIUM,Design Memory Allocator,82.3,0.005055770544047347,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
EASY,Valid Parentheses,82.3,0.004472570758542255,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Number of Islands,72.0,0.006496058615499655,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Meeting Rooms II,72.0,0.00527767860798182,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
