Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,First Unique Number,100.0,0.005787576943499381,https://leetcode.com/problems/first-unique-number,"Array, Hash Table, Design, Queue, Data Stream"
EASY,Final Prices With a Special Discount in a Shop,85.5,0.00842970626619508,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Array, Stack, Monotonic Stack"
HARD,Bus Routes,80.0,0.004749644936244596,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
EASY,Squares of a Sorted Array,80.0,0.007406489931721862,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
HARD,Minimum Edge Reversals So Every Node Is Reachable,80.0,0.005979627318116976,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Find the Safest Path in a Grid,80.0,0.0057349690108531625,https://leetcode.com/problems/find-the-safest-path-in-a-grid,"Array, Binary Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix"
MEDIUM,Number of Islands,72.9,0.006496058615499655,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Number of Islands II,72.9,0.004070971555968578,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
MEDIUM,The Earliest Moment When Everyone Become Friends,72.9,0.006611672706465764,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union-Find, Sorting"
HARD,Minimum Number of Refueling Stops,72.9,0.00417736115582163,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
HARD,Making A Large Island,72.9,0.005708592445368767,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Construct Quad Tree,63.0,0.007861745646084299,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,63.0,0.005791944829045884,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Leftmost Column with at Least a One,63.0,0.005526768666291627,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
MEDIUM,Shuffle an Array,63.0,0.005993320092536803,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
MEDIUM,Make Lexicographically Smallest Array by Swapping Elements,63.0,0.006013792461826512,https://leetcode.com/problems/make-lexicographically-smallest-array-by-swapping-elements,"Array, Union-Find, Sorting"
HARD,Maximize Sum of Weights after Edge Removals,63.0,0.003135128622206157,https://leetcode.com/problems/maximize-sum-of-weights-after-edge-removals,"Dynamic Programming, Tree, Depth-First Search, Sorting"
HARD,Alien Dictionary,63.0,0.0037286671052069024,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
