Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,First Unique Number,100.0,0.005787576943499381,https://leetcode.com/problems/first-unique-number,"Array, Hash Table, Design, Queue, Data Stream"
HARD,Minimum Edge Reversals So Every Node Is Reachable,96.2,0.005979627318116976,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Bus Routes,93.2,0.004749644936244596,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Number of Islands II,89.8,0.004070971555968578,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,89.8,0.005791944829045884,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Construct Quad Tree,87.9,0.007861745646084299,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
HARD,Alien Dictionary,87.9,0.0037286671052069024,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Count Paths That Can Form a Palindrome in a Tree,87.9,0.005207741365157542,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,The Earliest Moment When Everyone Become Friends,87.9,0.006611672706465764,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,"Array, Union-Find, Sorting"
EASY,Squares of a Sorted Array,83.6,0.007406489931721862,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Final Prices With a Special Discount in a Shop,81.1,0.00842970626619508,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Array, Stack, Monotonic Stack"
