Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Bus Routes,100.0,0.004749644936244596,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
HARD,Alien Dictionary,95.2,0.0037286671052069024,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,94.0,0.005791944829045884,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Number of Islands,91.6,0.006496058615499655,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Number of Islands II,88.5,0.004070971555968578,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
MEDIUM,Construct Quad Tree,85.4,0.007861745646084299,https://leetcode.com/problems/construct-quad-tree,"Array, Divide and Conquer, Tree, Matrix"
EASY,Squares of a Sorted Array,84.9,0.007406489931721862,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
HARD,Find the Closest Palindrome,82.8,0.003207186787430617,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
MEDIUM,Word Search,77.9,0.004794690509986449,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Kth Smallest Element in a BST,77.9,0.0077214885199933135,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Design Hit Counter,77.1,0.006974272516303686,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
MEDIUM,My Calendar I,76.4,0.005837601174146484,https://leetcode.com/problems/my-calendar-i,"Array, Binary Search, Design, Segment Tree, Ordered Set"
HARD,Word Search II,74.8,0.0038787521659781653,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
MEDIUM,Product of Array Except Self,74.8,0.00691645309116076,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,First Unique Number,74.8,0.005787576943499381,https://leetcode.com/problems/first-unique-number,"Array, Hash Table, Design, Queue, Data Stream"
HARD,Text Justification,73.1,0.005189791948559949,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
MEDIUM,Evaluate Division,72.2,0.006450741323946335,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
HARD,Block Placement Queries,72.2,0.004141530323533029,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
MEDIUM,LRU Cache,70.3,0.004786900551133637,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Insert Delete GetRandom O(1),70.3,0.005548617263935756,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Best Time to Buy and Sell Stock,67.0,0.005725131591964092,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Course Schedule II,65.8,0.0056088233262362175,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort"
HARD,Basic Calculator,65.8,0.004711217156275741,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
HARD,Minimum Edge Reversals So Every Node Is Reachable,65.8,0.005979627318116976,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Design In-Memory File System,64.4,0.004831368860605818,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
MEDIUM,Shortest Bridge,64.4,0.00597095395782115,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Rotating the Box,64.4,0.008246603958014232,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Leftmost Column with at Least a One,63.0,0.005526768666291627,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,"Array, Binary Search, Matrix, Interactive"
HARD,Cherry Pickup,63.0,0.004027068692814383,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
HARD,Count Paths That Can Form a Palindrome in a Tree,63.0,0.005207741365157542,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,Meeting Rooms II,61.5,0.00527767860798182,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
MEDIUM,The Maze,61.5,0.006051052807248266,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
HARD,Divide Nodes Into the Maximum Number of Groups,61.5,0.006685905039997566,https://leetcode.com/problems/divide-nodes-into-the-maximum-number-of-groups,"Depth-First Search, Breadth-First Search, Union-Find, Graph Theory"
MEDIUM,Random Pick with Weight,59.9,0.004921190432880283,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
MEDIUM,Top K Frequent Elements,58.1,0.006713899674875039,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Split Message Based on Limit,58.1,0.004206732913492587,https://leetcode.com/problems/split-message-based-on-limit,"String, Enumeration"
MEDIUM,Find Minimum Time to Reach Last Room I,58.1,0.005548436243994541,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i,"Array, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Maximize Amount After Two Days of Conversions,58.1,0.006196980589503954,https://leetcode.com/problems/maximize-amount-after-two-days-of-conversions,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory"
MEDIUM,Maximum Coin Collection ,58.1,0.005298662144337667,https://leetcode.com/problems/maximum-coin-collection,"Array, Dynamic Programming"
MEDIUM,The Maze II,58.1,0.0055199115044247795,https://leetcode.com/problems/the-maze-ii,"Array, Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path, Dijkstra's Algorithm, Heuristic Search, A* Search"
MEDIUM,Spiral Matrix,56.2,0.005762720330943672,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Coin Change,56.2,0.004897347268405778,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
HARD,Find the Number of Ways to Place People II,56.2,0.006418405695695768,https://leetcode.com/problems/find-the-number-of-ways-to-place-people-ii,"Array, Math, Geometry, Sorting, Enumeration"
MEDIUM,Find Minimum Time to Reach Last Room II,56.2,0.00672724783516446,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-ii,"Array, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path"
MEDIUM,Valid Sudoku,54.1,0.00649508934413301,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
HARD,Making A Large Island,54.1,0.005708592445368767,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Count Subarrays With Fixed Bounds,54.1,0.006917437440700361,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
MEDIUM,Binary Tree Right Side View,54.1,0.007097975291849621,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Number of Black Blocks,54.1,0.004217931337705639,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Shuffle an Array,51.7,0.005993320092536803,https://leetcode.com/problems/shuffle-an-array,"Array, Math, Design, Randomized"
HARD,Optimal Account Balancing,51.7,0.005061702949890506,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Rotting Oranges,51.7,0.005927629199932288,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
HARD,Meeting Rooms III,51.7,0.005139391641869157,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
MEDIUM,Open the Lock,51.7,0.0061504463466027825,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,51.7,0.006479741732713856,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
EASY,Final Prices With a Special Discount in a Shop,51.7,0.00842970626619508,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,"Array, Stack, Monotonic Stack"
MEDIUM,Minimum Operations to Reduce an Integer to 0,51.7,0.006317560635285427,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
HARD,Largest Rectangle in Histogram,49.0,0.005066390310834504,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
HARD,Word Ladder,49.0,0.004632637267170285,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Word Break,49.0,0.004977890691223127,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
MEDIUM,Course Schedule,49.0,0.00520403869711129,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Split Array Largest Sum,49.0,0.006119260048615028,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Koko Eating Bananas,49.0,0.005039601473376103,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Time Based Key-Value Store,49.0,0.005012868360437659,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
MEDIUM,Boundary of Binary Tree,49.0,0.004818242670596554,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
MEDIUM,Subarray Sums Divisible by K,49.0,0.005664302206615789,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
HARD,Longest Path With Different Adjacent Characters,49.0,0.005401423048910304,https://leetcode.com/problems/longest-path-with-different-adjacent-characters,"Array, String, Tree, Depth-First Search, Graph Theory, Topological Sort"
HARD,Minimum Cost to Make at Least One Valid Path in a Grid,49.0,0.007112798264642083,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid,"Array, Breadth-First Search, Graph Theory, Heap (Priority Queue), Matrix, Shortest Path, 0-1 BFS, Dijkstra's Algorithm"
MEDIUM,Rotate Image,45.9,0.008057027122611414,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Group Anagrams,45.9,0.0073129100197969945,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
