Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Escape a Large Maze,100.0,0.003703043139003456,https://leetcode.com/problems/escape-a-large-maze,"Array, Hash Table, Depth-First Search, Breadth-First Search, Bidirectional Search"
MEDIUM,Sorting Three Groups,97.2,0.004332284770803011,https://leetcode.com/problems/sorting-three-groups,"Array, Binary Search, Dynamic Programming"
MEDIUM,As Far from Land as Possible,97.2,0.00524903222288861,https://leetcode.com/problems/as-far-from-land-as-possible,"Array, Dynamic Programming, Breadth-First Search, Matrix"
MEDIUM,Integer to Roman,73.7,0.007149613342193813,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
HARD,Making A Large Island,64.1,0.005708592445368767,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Boats to Save People,64.1,0.006229808543772329,https://leetcode.com/problems/boats-to-save-people,"Array, Two Pointers, Greedy, Sorting, Timsort"
MEDIUM,Satisfiability of Equality Equations,64.1,0.005211120031167728,https://leetcode.com/problems/satisfiability-of-equality-equations,"Array, String, Union-Find, Graph Theory"
MEDIUM,Longest Repeating Character Replacement,64.1,0.0060430446881604176,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Collect Coins in a Tree,64.1,0.0039794157265532915,https://leetcode.com/problems/collect-coins-in-a-tree,"Array, Tree, Graph Theory, Topological Sort"
HARD,Burst Balloons,64.1,0.006419262527881141,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
MEDIUM,Min Stack,64.1,0.005855048421020332,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Subsets II,64.1,0.006182657265322458,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
MEDIUM,Reorder List,64.1,0.00660007994683371,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
HARD,Russian Doll Envelopes,64.1,0.0038121836054652593,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting, Longest Increasing Subsequence"
HARD,Binary Tree Cameras,64.1,0.004807813330861584,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
