Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Text Justification,100.0,0.005189795590769632,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Length of Longest V-Shaped Diagonal Segment,99.0,0.005592548076923077,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,"Array, Dynamic Programming, Memoization, Matrix"
EASY,Two Sum,96.8,0.005800955990336114,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Rotating the Box,96.8,0.008246603958014232,https://leetcode.com/problems/rotating-the-box,"Array, Two Pointers, Matrix"
MEDIUM,Minimum Operations to Write the Letter Y on a Grid,93.1,0.006479801861815697,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
MEDIUM,Longest Substring Without Repeating Characters,90.3,0.003977957991168964,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,90.3,0.00396932772129858,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Find the Length of the Longest Common Prefix,85.3,0.006226136483493302,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
EASY,Best Time to Buy and Sell Stock,83.4,0.0057251330260335385,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,LRU Cache,83.4,0.004786902530438672,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Block Placement Queries,81.3,0.004141530323533029,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
MEDIUM,Number of Black Blocks,81.3,0.004217931337705639,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
MEDIUM,Simplify Path,79.0,0.005122120182912487,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Number of Adjacent Elements With the Same Color,79.0,0.005979279970638284,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array
MEDIUM,Group Anagrams,76.5,0.007312907069303087,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Maximum Subarray,73.7,0.00537354958214029,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Split the Array,73.7,0.0061547223804298,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
HARD,Largest Rectangle in Histogram,73.7,0.005066391786622571,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
HARD,Trapping Rain Water,70.5,0.0068028572204801305,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Valid Parentheses,70.5,0.004472571670857033,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Merge Intervals,70.5,0.005257663671981929,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Longest Palindromic Substring,66.8,0.003847120896575322,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Longest Common Prefix,66.8,0.004818719734782995,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Minimum Time Difference,66.8,0.006268193832599119,https://leetcode.com/problems/minimum-time-difference,"Array, Math, String, Sorting"
MEDIUM,Minimum Absolute Difference Between Elements With Constraint,66.8,0.0038007509255288422,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
MEDIUM,Spiral Matrix,62.5,0.005762719986148905,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Number of Islands,62.5,0.0064960608357833936,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Reverse Linked List,62.5,0.00809421323866869,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Restore IP Addresses,57.1,0.005679403301634236,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,57.1,0.005791952251105004,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
EASY,Merge Two Sorted Lists,57.1,0.006874757616630927,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
