Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Substring Without Repeating Characters,100.0,0.003977957991168964,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,LRU Cache,98.5,0.004786902530438672,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
HARD,Trapping Rain Water,96.9,0.0068028572204801305,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Number of Islands,96.9,0.0064960608357833936,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Two Sum,95.2,0.005800955990336114,https://leetcode.com/problems/two-sum,"Array, Hash Table"
EASY,Valid Parentheses,95.2,0.004472571670857033,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Generate Parentheses,93.3,0.007906621011010547,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Search in Rotated Sorted Array,91.3,0.004546234571355707,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Group Anagrams,91.3,0.007312907069303087,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,91.3,0.005257663671981929,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Word Break,81.6,0.004977889689195538,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
MEDIUM,Divide Intervals Into Minimum Number of Groups,81.6,0.0063588432726077405,https://leetcode.com/problems/divide-intervals-into-minimum-number-of-groups,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Middle of the Linked List,81.6,0.008227625337064049,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
MEDIUM,Container With Most Water,78.4,0.006064832711532953,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,3Sum,78.4,0.00396932772129858,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
HARD,Number of Ways to Separate Numbers,78.4,0.002177600579920261,https://leetcode.com/problems/number-of-ways-to-separate-numbers,"String, Dynamic Programming, Prefix Sum"
EASY,The Winner University,78.4,0.00753689718149958,https://leetcode.com/problems/the-winner-university,Database
HARD,Count Good Triplets in an Array,78.4,0.0065282139352306175,https://leetcode.com/problems/count-good-triplets-in-an-array,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
HARD,Minimum Number of Operations to Make Arrays Similar,78.4,0.006153663581188756,https://leetcode.com/problems/minimum-number-of-operations-to-make-arrays-similar,"Array, Greedy, Sorting"
MEDIUM,Minimum Operations to Make Array Equal II,78.4,0.0033375693554060343,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii,"Array, Math, Greedy"
HARD,Maximum Number of Tasks You Can Assign,78.4,0.004995120831180759,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,"Array, Two Pointers, Binary Search, Greedy, Queue, Sorting, Monotonic Queue"
EASY,Count Elements With Maximum Frequency,78.4,0.00797278948809198,https://leetcode.com/problems/count-elements-with-maximum-frequency,"Array, Hash Table, Counting"
EASY,Maximum Length Substring With Two Occurrences,78.4,0.007766236148383263,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences,"Hash Table, String, Sliding Window"
MEDIUM,Circular Permutation in Binary Representation,78.4,0.007302131968273612,https://leetcode.com/problems/circular-permutation-in-binary-representation,"Math, Backtracking, Bit Manipulation"
MEDIUM,Find the N-th Value After K Seconds,78.4,0.005372292722299448,https://leetcode.com/problems/find-the-n-th-value-after-k-seconds,"Array, Math, Simulation, Combinatorics, Prefix Sum"
EASY,XOR Operation in an Array,78.4,0.008783844322254406,https://leetcode.com/problems/xor-operation-in-an-array,"Math, Bit Manipulation"
EASY,Maximum Distance Between Unequal Words in Array I,78.4,0.008173633440514468,https://leetcode.com/problems/maximum-distance-between-unequal-words-in-array-i,"Array, String"
HARD,Max Stack,74.9,0.004599664934018532,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
HARD,Trapping Rain Water II,74.9,0.006419301196078709,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
MEDIUM,Longest Palindromic Substring,70.8,0.003847120896575322,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Combination Sum,70.8,0.007700596345977679,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Sort Colors,70.8,0.007016878107720372,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,Longest Consecutive Sequence,70.8,0.004720837132700632,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Coin Change,70.8,0.004897352331659137,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search, Knapsack Problem, Complete Knapsack"
MEDIUM,Longest Increasing Subsequence,70.8,0.005984865405457684,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming, Longest Increasing Subsequence"
MEDIUM,Advantage Shuffle,70.8,0.005491791696639606,https://leetcode.com/problems/advantage-shuffle,"Array, Two Pointers, Greedy, Sorting"
HARD,Median of Two Sorted Arrays,66.0,0.00473698751451557,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
HARD,Merge k Sorted Lists,66.0,0.006029413371586027,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Maximum Subarray,66.0,0.00537354958214029,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Kth Largest Element in an Array,66.0,0.006924368223848775,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
