Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Number of Divisible Substrings,100.0,0.007478142607344084,https://leetcode.com/problems/number-of-divisible-substrings,"Hash Table, String, Counting, Prefix Sum"
HARD,Reaching Points,79.7,0.003458673010051953,https://leetcode.com/problems/reaching-points,"Math, Euclidean Algorithm, Greatest Common Divisor"
EASY,Valid Palindrome,70.0,0.005407054010085091,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Add Strings,70.0,0.005221926187696097,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
MEDIUM,Group Anagrams,70.0,0.007312907069303087,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Backspace String Compare,70.0,0.005017269270038972,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,Last Person to Fit in the Bus,70.0,0.006973185507938403,https://leetcode.com/problems/last-person-to-fit-in-the-bus,Database
HARD,Sliding Window Maximum,70.0,0.004910883472158029,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Time Needed to Rearrange a Binary String,70.0,0.005356595004235639,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"String, Dynamic Programming, Simulation"
MEDIUM,Least Number of Unique Integers after K Removals,70.0,0.0063931057666406195,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
