Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Max Points on a Line,100.0,0.0031255363337593573,https://leetcode.com/problems/max-points-on-a-line,"Array, Hash Table, Math, Geometry, Euclidean Algorithm, Greatest Common Divisor"
MEDIUM,Number of Islands,87.2,0.0064960608357833936,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Logger Rate Limiter,83.6,0.007688317455577695,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
MEDIUM,Meeting Rooms II,79.2,0.0052776827656154865,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
HARD,Minimum Number of Refueling Stops,79.2,0.00417736115582163,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
MEDIUM,Random Pick with Weight,79.2,0.0049211939456145545,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
HARD,Shortest Distance from All Buildings,74.0,0.004498036504592978,https://leetcode.com/problems/shortest-distance-from-all-buildings,"Array, Breadth-First Search, Matrix"
HARD,Number of Visible People in a Queue,74.0,0.007346126879430783,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
MEDIUM,Design Tic-Tac-Toe,67.2,0.005875625669705109,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
MEDIUM,Minimum Knight Moves,67.2,0.004205706317708892,https://leetcode.com/problems/minimum-knight-moves,"Breadth-First Search, Heuristic Search, Bidirectional Search, A* Search"
HARD,Design Excel Sum Formula,67.2,0.003949866908064186,https://leetcode.com/problems/design-excel-sum-formula,"Array, Hash Table, String, Graph Theory, Design, Topological Sort, Matrix"
MEDIUM,Minimum Area Rectangle,67.2,0.005549137667726122,https://leetcode.com/problems/minimum-area-rectangle,"Array, Hash Table, Math, Geometry, Sorting"
MEDIUM,Path With Minimum Effort,67.2,0.006389789960769037,https://leetcode.com/problems/path-with-minimum-effort,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix, Dijkstra's Algorithm"
HARD,Regular Expression Matching,67.2,0.0031576321615821067,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
HARD,Alien Dictionary,67.2,0.003728671809134631,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Divide Array in Sets of K Consecutive Numbers,57.6,0.005948577320492289,https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers,"Array, Hash Table, Greedy, Sorting"
MEDIUM,Find Peak Element,57.6,0.004714063642411588,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
HARD,Text Justification,57.6,0.005189795590769632,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
HARD,Largest Rectangle in Histogram,57.6,0.005066391786622571,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
MEDIUM,Maximum Earnings From Taxi,57.6,0.004674054466328682,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Range Sum Query 2D - Immutable,57.6,0.005883569201135158,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
HARD,Robot Room Cleaner,57.6,0.007802244466866529,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
HARD,Number of Islands II,57.6,0.004070971555968578,https://leetcode.com/problems/number-of-islands-ii,"Array, Hash Table, Union-Find"
MEDIUM,Car Fleet,57.6,0.005556906722886517,https://leetcode.com/problems/car-fleet,"Array, Stack, Sorting, Monotonic Stack"
MEDIUM,Maximum Gap,57.6,0.005282475581105588,https://leetcode.com/problems/maximum-gap,"Array, Sorting, Bucket Sort, Radix Sort, Pigeonhole Principle"
MEDIUM,Minimum Path Sum,57.6,0.006874288299521961,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
HARD,Range Module,57.6,0.0045412920182597875,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
MEDIUM,Majority Element II,57.6,0.005667177051241101,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Design Circular Queue,57.6,0.005521280694766737,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
