Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Find Edges in Shortest Paths,100.0,0.004663828079718222,https://leetcode.com/problems/find-edges-in-shortest-paths,"Depth-First Search, Breadth-First Search, Graph Theory, Heap (Priority Queue), Shortest Path"
MEDIUM,Maximize Greatness of an Array,89.2,0.006211831928088635,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
HARD,Maximum Profit in Job Scheduling,77.5,0.005481218070846361,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
HARD,Longest Increasing Path in a Matrix,77.5,0.005695033323594301,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Memoization, Matrix, Directed Acyclic Graph"
HARD,Swim in Rising Water,77.5,0.006817686053075477,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union-Find, Minimax, Heap (Priority Queue), Matrix, Dijkstra's Algorithm"
HARD,Count Paths That Can Form a Palindrome in a Tree,77.5,0.005207741365157542,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,"Hash Table, Bit Manipulation, Tree, Depth-First Search"
MEDIUM,Detect Cycles in 2D Grid,77.5,0.00635081936008583,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
HARD,Text Justification,68.3,0.005189795590769632,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
EASY,Count Binary Substrings,68.3,0.007053402000993714,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Design Snake Game,68.3,0.004008079329759114,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
