Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Verbal Arithmetic Puzzle,100.0,0.0033465666813703864,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
EASY,Rotate String,85.6,0.006666964256566021,https://leetcode.com/problems/rotate-string,"String, String Matching"
EASY,Merge Strings Alternately,85.6,0.008214747288426558,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
EASY,Minimum String Length After Removing Substrings,85.6,0.007722499347597208,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,"String, Stack, Simulation"
MEDIUM,Number of Islands,85.6,0.0064960608357833936,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Valid Parentheses,85.6,0.004472571670857033,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Merge Intervals,85.6,0.005257663671981929,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Count Binary Substrings,85.6,0.007053402000993714,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Spiral Matrix,74.3,0.005762719986148905,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Kth Largest Element in a Stream,74.3,0.006147281706779677,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
MEDIUM,Maximum Subarray,74.3,0.00537354958214029,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Count Vowel Substrings of a String,74.3,0.0073424036281179135,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,LFU Cache,74.3,0.0050029654220824695,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Intersection of Two Linked Lists,74.3,0.006446743994362665,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,Meeting Rooms II,74.3,0.0052776827656154865,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Backspace String Compare,74.3,0.005017269270038972,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
MEDIUM,LRU Cache,74.3,0.004786902530438672,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Earnings From Taxi,74.3,0.004674054466328682,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Restore IP Addresses,74.3,0.005679403301634236,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
