Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,100.0,0.004117425180051157,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
HARD,Verbal Arithmetic Puzzle,85.4,0.0033465666813703864,https://leetcode.com/problems/verbal-arithmetic-puzzle,"Array, Math, String, Backtracking"
EASY,Minimum String Length After Removing Substrings,85.4,0.007722499347597208,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,"String, Stack, Simulation"
EASY,Rotate String,79.9,0.006666964256566021,https://leetcode.com/problems/rotate-string,"String, String Matching"
EASY,Merge Strings Alternately,72.8,0.008214747288426558,https://leetcode.com/problems/merge-strings-alternately,"Two Pointers, String"
MEDIUM,Number of Islands,72.8,0.0064960608357833936,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Valid Parentheses,72.8,0.004472571670857033,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Count Binary Substrings,72.8,0.007053402000993714,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
MEDIUM,Merge Intervals,72.8,0.005257663671981929,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Kth Largest Element in a Stream,62.8,0.006147281706779677,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
MEDIUM,Spiral Matrix,62.8,0.005762719986148905,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximum Subarray,62.8,0.00537354958214029,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Count Vowel Substrings of a String,62.8,0.0073424036281179135,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
HARD,LFU Cache,62.8,0.0050029654220824695,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Meeting Rooms II,62.8,0.0052776827656154865,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
EASY,Backspace String Compare,62.8,0.005017269270038972,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
EASY,Intersection of Two Linked Lists,62.8,0.006446743994362665,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
MEDIUM,LRU Cache,62.8,0.004786902530438672,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Maximum Earnings From Taxi,62.8,0.004674054466328682,https://leetcode.com/problems/maximum-earnings-from-taxi,"Array, Hash Table, Binary Search, Dynamic Programming, Sorting"
MEDIUM,Restore IP Addresses,62.8,0.005679403301634236,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
