Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Two Sum,100.0,0.005800955990336114,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Minimum Moves to Capture The Queen,100.0,0.0022685935444510114,https://leetcode.com/problems/minimum-moves-to-capture-the-queen,"Math, Enumeration"
EASY,Longest Common Prefix,87.5,0.004818719734782995,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Longest Substring Without Repeating Characters,70.6,0.003977957991168964,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Palindrome Number,70.6,0.0060874528026185456,https://leetcode.com/problems/palindrome-number,Math
EASY,Valid Anagram,70.6,0.006853248243938401,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Group Anagrams,70.6,0.007312907069303087,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,60.8,0.004472571670857033,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Reverse Integer,60.8,0.003236626884292629,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Sort Characters By Frequency,60.8,0.007571013739168003,https://leetcode.com/problems/sort-characters-by-frequency,"Hash Table, String, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
EASY,Create Hello World Function,60.8,0.008191597892549411,https://leetcode.com/problems/create-hello-world-function,
MEDIUM,Merge Intervals,60.8,0.005257663671981929,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Add Binary,60.8,0.0058484872131346274,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
EASY,Toeplitz Matrix,60.8,0.006983907418094353,https://leetcode.com/problems/toeplitz-matrix,"Array, Matrix"
EASY,Pascal's Triangle,60.8,0.007929403797893026,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
EASY,Merge Sorted Array,60.8,0.005552798031809631,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Kids With the Greatest Number of Candies,60.8,0.008800518633308895,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,Array
EASY,Max Consecutive Ones,60.8,0.006591788712813902,https://leetcode.com/problems/max-consecutive-ones,Array
EASY,Reverse String,60.8,0.008119745045842534,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Add Strings,60.8,0.005221926187696097,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
