Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Top K Frequent Elements,100.0,0.006713901402826968,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Combination Sum,91.7,0.007700596345977679,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
EASY,Longest Common Prefix,80.0,0.004818719734782995,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Valid Parentheses,80.0,0.004472571670857033,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Search in Rotated Sorted Array,80.0,0.004546234571355707,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Spiral Matrix,80.0,0.005762719986148905,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Validate Binary Search Tree,80.0,0.003620634415355719,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Subarray Sum Equals K,80.0,0.004798002215575853,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Shortest Path in Binary Matrix,80.0,0.00520526763320098,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Restore IP Addresses,80.0,0.005679403301634236,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Evaluate Division,80.0,0.006450744413417547,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Shortest Path, Bellman–Ford Algorithm, Floyd–Warshall Algorithm"
MEDIUM,Flatten Nested List Iterator,80.0,0.006582874417529943,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
MEDIUM,Find Peak Element,80.0,0.004714063642411588,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
