Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Longest Subarray of 1's After Deleting One Element,100.0,0.007148332385378663,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,"Array, Dynamic Programming, Sliding Window"
MEDIUM,Maximize Distance to Closest Person,91.8,0.004997681957791178,https://leetcode.com/problems/maximize-distance-to-closest-person,Array
EASY,Summary Ranges,90.2,0.005461934172258151,https://leetcode.com/problems/summary-ranges,Array
MEDIUM,Longest Substring Without Repeating Characters,85.2,0.003977957991168964,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Find K Closest Elements,83.4,0.00500128893474366,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
MEDIUM,String Compression,81.5,0.006060183350478085,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Valid Palindrome II,81.5,0.004461397771844857,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Subarray Sum Equals K,80.0,0.004798002215575853,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Merge Intervals,76.9,0.005257663671981929,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Move Zeroes,76.0,0.006426544357941935,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Valid Palindrome,74.1,0.005407054010085091,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,One Edit Distance,74.1,0.0034578134593774255,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
EASY,Isomorphic Strings,74.1,0.004892125533231432,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Line Reflection,73.1,0.0036398348492844494,https://leetcode.com/problems/line-reflection,"Array, Hash Table, Math"
MEDIUM,Find All Anagrams in a String,72.0,0.005432494345346556,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
MEDIUM,Insert Delete GetRandom O(1),70.9,0.00554861683301535,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
EASY,Longest Strictly Increasing or Strictly Decreasing Subarray,70.9,0.006493006296092202,https://leetcode.com/problems/longest-strictly-increasing-or-strictly-decreasing-subarray,Array
MEDIUM,Permutation in String,69.7,0.004952185208884229,https://leetcode.com/problems/permutation-in-string,"Hash Table, Two Pointers, String, Sliding Window"
MEDIUM,Number of Islands,68.4,0.0064960608357833936,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Find the Prefix Common Array of Two Arrays,68.4,0.008829164733573158,https://leetcode.com/problems/find-the-prefix-common-array-of-two-arrays,"Array, Hash Table, Bit Manipulation"
EASY,Two Sum,67.0,0.005800955990336114,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,67.0,0.003847120896575322,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Group Anagrams,65.6,0.007312907069303087,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Valid Parentheses,64.0,0.004472571670857033,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Merge Two Sorted Lists,64.0,0.006874757616630927,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
HARD,Trapping Rain Water,64.0,0.0068028572204801305,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Squares of a Sorted Array,64.0,0.007406488657255577,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
EASY,Merge Sorted Array,62.3,0.005552798031809631,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Design an ATM Machine,62.3,0.004593550059503471,https://leetcode.com/problems/design-an-atm-machine,"Array, Greedy, Design"
EASY,Is Subsequence,62.3,0.004934165354012682,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
MEDIUM,Min Stack,60.4,0.0058550466949563625,https://leetcode.com/problems/min-stack,"Stack, Design"
MEDIUM,Interval List Intersections,60.4,0.007314300593300723,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Sweep Line"
MEDIUM,Lowest Common Ancestor of a Binary Tree,58.3,0.006995194561889191,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree, Binary Lifting, Lowest Common Ancestor"
MEDIUM,Product of Array Except Self,58.3,0.006916454305787093,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Find Duplicate Subtrees,58.3,0.0060831428619882,https://leetcode.com/problems/find-duplicate-subtrees,"Hash Table, Tree, Depth-First Search, Binary Tree"
MEDIUM,Container With Most Water,56.0,0.006064832711532953,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Symmetric Tree,56.0,0.006182595018908676,https://leetcode.com/problems/symmetric-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Max Consecutive Ones III,56.0,0.006827634820852397,https://leetcode.com/problems/max-consecutive-ones-iii,"Array, Binary Search, Sliding Window, Prefix Sum"
