Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Destination City,100.0,0.007954308215057649,https://leetcode.com/problems/destination-city,"Array, Hash Table, String"
MEDIUM,Remove Colored Pieces if Both Neighbors are the Same Color,100.0,0.0063135793275781995,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
MEDIUM,"Filter Restaurants by Vegan-Friendly, Price and Distance",97.3,0.006448711756574454,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance,"Array, Sorting"
EASY,Two Sum,94.2,0.005800955990336114,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Substring Without Repeating Characters,94.2,0.003977957991168964,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Longest Common Prefix,94.2,0.004818719734782995,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
MEDIUM,Group Anagrams,94.2,0.007312907069303087,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Merge Intervals,94.2,0.005257663671981929,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Word Ladder II,94.2,0.0027962707753449233,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search, Bidirectional Search"
HARD,Word Ladder,94.2,0.004632637466263454,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Reverse Words in a String,94.2,0.005753077773172842,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
MEDIUM,Active Businesses,94.2,0.0066016620498614955,https://leetcode.com/problems/active-businesses,Database
EASY,Reverse Linked List,94.2,0.00809421323866869,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Course Schedule,94.2,0.005204037331422034,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,The Skyline Problem,94.2,0.0045773238943932594,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Sweep Line, Sorting, Heap (Priority Queue), Ordered Set"
EASY,Valid Anagram,94.2,0.006853248243938401,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Top K Frequent Elements,94.2,0.006713901402826968,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
MEDIUM,Insert Delete GetRandom O(1),94.2,0.00554861683301535,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
HARD,Insert Delete GetRandom O(1) - Duplicates allowed,94.2,0.0036895098916057754,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Decode String,94.2,0.0063090607337534695,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,String Compression,94.2,0.006060183350478085,https://leetcode.com/problems/string-compression,"Two Pointers, String"
EASY,Check If a Word Occurs As a Prefix of Any Word in a Sentence,94.2,0.006880191842187771,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,"Two Pointers, String, String Matching"
HARD,Find the Closest Palindrome,94.2,0.003207172219572574,https://leetcode.com/problems/find-the-closest-palindrome,"Math, String"
EASY,Minimum Index Sum of Two Lists,94.2,0.00603474184268441,https://leetcode.com/problems/minimum-index-sum-of-two-lists,"Array, Hash Table, String"
MEDIUM,Top K Frequent Words,94.2,0.00605012280736682,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
MEDIUM,Letter Case Permutation,94.2,0.007603367607316193,https://leetcode.com/problems/letter-case-permutation,"String, Backtracking, Bit Manipulation"
MEDIUM,Shortest and Lexicographically Smallest Beautiful String,58.5,0.004117425180051157,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string,"String, Sliding Window"
EASY,Minimum Value to Get Positive Step by Step Sum,58.5,0.006482922710461644,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
