Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Apply Operations to Make Sum of Array Greater Than or Equal to k,100.0,0.004434239094677281,https://leetcode.com/problems/apply-operations-to-make-sum-of-array-greater-than-or-equal-to-k,"Math, Greedy, Enumeration"
EASY,Maximum Strong Pair XOR I,97.1,0.007643386656262193,https://leetcode.com/problems/maximum-strong-pair-xor-i,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
HARD,Maximum Strong Pair XOR II,97.1,0.003287309150349529,https://leetcode.com/problems/maximum-strong-pair-xor-ii,"Array, Hash Table, Bit Manipulation, Trie, Sliding Window"
EASY,Day of the Year,97.1,0.005026329840649355,https://leetcode.com/problems/day-of-the-year,"Math, String"
EASY,Largest Number After Digit Swaps by Parity,97.1,0.006557294671604846,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Sorting, Heap (Priority Queue)"
HARD,Optimal Account Balancing,90.1,0.005061702949890506,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Minimum Replacements to Sort the Array,85.6,0.0053102674577064435,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,"Array, Math, Greedy"
MEDIUM,Minimum Increment to Make Array Unique,73.1,0.006077435426310024,https://leetcode.com/problems/minimum-increment-to-make-array-unique,"Array, Greedy, Sorting, Counting"
MEDIUM,LRU Cache,73.1,0.004786906189866565,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Robot Bounded In Circle,63.2,0.005661069940730957,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
MEDIUM,Number of Divisible Triplet Sums,63.2,0.0067640522875816985,https://leetcode.com/problems/number-of-divisible-triplet-sums,"Array, Hash Table"
HARD,Word Ladder,63.2,0.004632635353783337,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Set Matrix Zeroes,63.2,0.006348234182335819,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
HARD,Integer to English Words,63.2,0.0035162744044930235,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
HARD,Reverse Nodes in k-Group,63.2,0.006696564159240927,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Search in Rotated Sorted Array,63.2,0.004546233546369227,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
