Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Merge Intervals,100.0,0.005257666929298673,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Longest Univalue Path,100.0,0.004433913064915904,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Longest Consecutive Sequence,93.8,0.004720839819033261,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
MEDIUM,Koko Eating Bananas,85.8,0.005039602774760288,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
MEDIUM,Minimum Cost For Tickets,85.8,0.006747676862466371,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
MEDIUM,Find Peak Element,85.8,0.0047140637470464266,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
MEDIUM,Maximum Width Ramp,85.8,0.0055930835644557265,https://leetcode.com/problems/maximum-width-ramp,"Array, Two Pointers, Stack, Monotonic Stack"
HARD,Sliding Window Maximum,85.8,0.004910882131490626,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Path Sum III,74.5,0.004658914294792534,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
EASY,Find the Distance Value Between Two Arrays,74.5,0.007217088844090361,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Longest Repeating Character Replacement,74.5,0.006043047383632891,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
HARD,Make Array Empty,74.5,0.002710364402446979,https://leetcode.com/problems/make-array-empty,"Array, Binary Search, Greedy, Binary Indexed Tree, Segment Tree, Sorting, Ordered Set"
MEDIUM,Count Sub Islands,74.5,0.00730874531793132,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Search in Rotated Sorted Array,74.5,0.004546233546369227,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Unique Paths II,74.5,0.004494317230022288,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Divide Two Integers,74.5,0.002022501900811029,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,Rotting Oranges,74.5,0.005927631509613915,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Number of Islands,74.5,0.006496066084233955,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,74.5,0.003977960853023439,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
