Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Apply Operations to Make Two Strings Equal,100.0,0.002765194805194805,https://leetcode.com/problems/apply-operations-to-make-two-strings-equal,"String, Dynamic Programming"
HARD,Minimum Window Substring,81.8,0.004825517168766316,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
HARD,Split Array Largest Sum,81.8,0.00611926823556247,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Task Scheduler,74.3,0.0063634906915839735,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Capacity To Ship Packages Within D Days,74.3,0.007450866489062336,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
HARD,Trapping Rain Water,74.3,0.006802858934823714,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
HARD,Palindrome Partitioning II,74.3,0.0037742719278992566,https://leetcode.com/problems/palindrome-partitioning-ii,"String, Dynamic Programming"
HARD,Remove Boxes,74.3,0.0049647646337702975,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
HARD,Reverse Nodes in k-Group,63.7,0.006696564159240927,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,63.7,0.003977960853023439,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Count Univalue Subtrees,63.7,0.005757135832533309,https://leetcode.com/problems/count-univalue-subtrees,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Insert Delete GetRandom O(1),63.7,0.005548618150299596,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,Remove K Digits,63.7,0.0037491044126562404,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
HARD,Maximal Rectangle,63.7,0.005959554101977652,https://leetcode.com/problems/maximal-rectangle,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
MEDIUM,Heaters,63.7,0.004245272792398763,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
MEDIUM,Maximum Subarray,63.7,0.005373550668955125,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Find All Possible Recipes from Given Supplies,63.7,0.005707407668617909,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,"Array, Hash Table, String, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Sliding Window Maximum,63.7,0.004910882131490626,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue, Range Minimum/Maximum Query"
MEDIUM,Minimize the Maximum Difference of Pairs,63.7,0.005103456200153792,https://leetcode.com/problems/minimize-the-maximum-difference-of-pairs,"Array, Binary Search, Dynamic Programming, Greedy, Sorting"
HARD,Binary Tree Cameras,63.7,0.004807813330861584,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Partition to K Equal Sum Subsets,63.7,0.0038826812908081742,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Guess Number Higher or Lower II,63.7,0.005330896110999165,https://leetcode.com/problems/guess-number-higher-or-lower-ii,"Math, Dynamic Programming, Minimax, Game Theory"
MEDIUM,Shifting Letters II,63.7,0.005383635393594491,https://leetcode.com/problems/shifting-letters-ii,"Array, String, Prefix Sum"
MEDIUM,Merge Intervals,63.7,0.005257666929298673,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
HARD,Median of Two Sorted Arrays,63.7,0.004736988837266392,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,Distribute Coins in Binary Tree,63.7,0.007733363220598125,https://leetcode.com/problems/distribute-coins-in-binary-tree,"Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,Word Break,63.7,0.004977885681089218,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization, Brute-Force Search"
MEDIUM,Power Grid Maintenance,63.7,0.00559088687500368,https://leetcode.com/problems/power-grid-maintenance,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union-Find, Graph Theory, Heap (Priority Queue), Ordered Set"
