Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Spiral Matrix,100.0,0.005762717036266193,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Decode String,100.0,0.006309059424580802,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Longest Substring Without Repeating Characters,96.1,0.003977960853023439,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Two Sum,93.2,0.005800952869674154,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Merge Intervals,93.2,0.005257666929298673,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
EASY,Valid Parentheses,91.5,0.004472573332822307,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Best Time to Buy and Sell Stock,91.5,0.005725133789500735,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
HARD,Trapping Rain Water,89.8,0.006802858934823714,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
MEDIUM,Group Anagrams,89.8,0.007312908556871405,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Longest Palindromic Substring,85.9,0.0038471229639906878,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
MEDIUM,Largest Number,85.9,0.004358515792985559,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
EASY,Climbing Stairs,83.7,0.0054281347800753275,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
MEDIUM,Compare Version Numbers,83.7,0.004686023999597036,https://leetcode.com/problems/compare-version-numbers,"Two Pointers, String"
MEDIUM,Daily Temperatures,83.7,0.006905699206520654,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
MEDIUM,Number of Islands,81.3,0.006496066084233955,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Sqrt(x),81.3,0.004223075457395433,https://leetcode.com/problems/sqrtx,"Math, Binary Search, Newton's Method"
MEDIUM,Rotate Image,78.7,0.008057029652637996,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
HARD,Wildcard Matching,78.7,0.0032623638585963523,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
MEDIUM,Generate Parentheses,78.7,0.007906622637287967,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Container With Most Water,75.7,0.006064834109539502,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Regular Expression Matching,75.7,0.0031576287737995843,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
MEDIUM,Zigzag Conversion,72.4,0.005489183399383995,https://leetcode.com/problems/zigzag-conversion,String
EASY,Longest Common Prefix,72.4,0.004818719356298374,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Move Zeroes,72.4,0.006426546102342037,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Roman to Integer,68.5,0.0067049484336253115,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Edit Distance,68.5,0.006111949763379941,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
HARD,Longest Valid Parentheses,68.5,0.0039503246300258196,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack, Bracket Sequences"
MEDIUM,Rotting Oranges,68.5,0.005927631509613915,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Jump Game II,68.5,0.00433596028858502,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,3Sum,64.0,0.003969330143153006,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Letter Combinations of a Phone Number,64.0,0.006666008573295622,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Search in Rotated Sorted Array,64.0,0.004546233546369227,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Jump Game,64.0,0.004138483695103163,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Merge Sorted Array,64.0,0.005552800489562293,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Valid Sudoku,64.0,0.006495091088031032,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Product of Array Except Self,64.0,0.0069164586043501276,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
MEDIUM,Subarray Sum Equals K,64.0,0.0047980053041721035,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
EASY,Island Perimeter,64.0,0.007432079642392341,https://leetcode.com/problems/island-perimeter,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Single Element in a Sorted Array,64.0,0.005939524614730452,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
EASY,Excel Sheet Column Number,58.4,0.006827422658342832,https://leetcode.com/problems/excel-sheet-column-number,"Math, String"
MEDIUM,Rotate Array,58.4,0.004532003390586853,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
MEDIUM,Non-overlapping Intervals,58.4,0.005757006520366501,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
EASY,Find the Index of the First Occurrence in a String,58.4,0.004716736304774091,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm, Boyer–Moore String-Search Algorithm"
