Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Count the Hidden Sequences,100.0,0.0056686478792536575,https://leetcode.com/problems/count-the-hidden-sequences,"Array, Prefix Sum"
HARD,The Skyline Problem,85.1,0.0045773238943932594,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Sweep Line, Sorting, Heap (Priority Queue), Ordered Set"
HARD,First Missing Positive,77.5,0.004354297642349849,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Exchange Seats,77.5,0.007465760685210312,https://leetcode.com/problems/exchange-seats,Database
MEDIUM,Longest Substring Without Repeating Characters,77.5,0.003977960853023439,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Single Element in a Sorted Array,77.5,0.005939524614730452,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
HARD,LFU Cache,66.7,0.0050029654220824695,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Number of Islands,66.7,0.006496066084233955,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
EASY,Isomorphic Strings,66.7,0.004892125625078358,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Snakes and Ladders,66.7,0.004823429595748888,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
EASY,Move Zeroes,66.7,0.006426546102342037,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Single Number III,66.7,0.007014377539843183,https://leetcode.com/problems/single-number-iii,"Array, Bit Manipulation"
HARD,Rearrange String k Distance Apart,66.7,0.003998467219396642,https://leetcode.com/problems/rearrange-string-k-distance-apart,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Maximum Subarray,66.7,0.005373550668955125,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Course Schedule,66.7,0.005204037697036237,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Permutations,66.7,0.00822614357089496,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Merge Intervals,66.7,0.005257666929298673,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Container With Most Water,66.7,0.006064834109539502,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
MEDIUM,Combination Sum,66.7,0.007700597939330188,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
