Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Maximum Spending After Buying Items,100.0,0.006165041425324437,https://leetcode.com/problems/maximum-spending-after-buying-items,"Array, Greedy, Sorting, Heap (Priority Queue), Matrix"
HARD,Split the Array to Make Coprime Products,100.0,0.002923213100243417,https://leetcode.com/problems/split-the-array-to-make-coprime-products,"Array, Hash Table, Math, Number Theory, Prime Factorization"
MEDIUM,Bitwise OR of All Subsequence Sums,100.0,0.006341531581889323,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,"Array, Math, Bit Manipulation, Brainteaser, Prefix Sum"
HARD,Shortest Cycle in a Graph,100.0,0.004043345952940049,https://leetcode.com/problems/shortest-cycle-in-a-graph,"Breadth-First Search, Graph Theory"
HARD,Number of Ways to Divide a Long Corridor,100.0,0.005453153156585379,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,"Math, String, Dynamic Programming"
MEDIUM,Count the Hidden Sequences,96.4,0.0056686478792536575,https://leetcode.com/problems/count-the-hidden-sequences,"Array, Prefix Sum"
HARD,The Skyline Problem,81.1,0.0045773238943932594,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Sweep Line, Sorting, Heap (Priority Queue), Ordered Set"
MEDIUM,Exchange Seats,81.1,0.007465760685210312,https://leetcode.com/problems/exchange-seats,Database
HARD,First Missing Positive,73.3,0.004354297642349849,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Number of Islands,73.3,0.006496066084233955,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Maximum Subarray,73.3,0.005373550668955125,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Longest Substring Without Repeating Characters,73.3,0.003977960853023439,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Single Element in a Sorted Array,73.3,0.005939524614730452,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
HARD,LFU Cache,62.4,0.0050029654220824695,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Snakes and Ladders,62.4,0.004823429595748888,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
MEDIUM,Single Number III,62.4,0.007014377539843183,https://leetcode.com/problems/single-number-iii,"Array, Bit Manipulation"
MEDIUM,Maximal Square,62.4,0.005074676265817781,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
EASY,Isomorphic Strings,62.4,0.004892125625078358,https://leetcode.com/problems/isomorphic-strings,"Hash Table, String"
MEDIUM,Course Schedule,62.4,0.005204037697036237,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Rearrange String k Distance Apart,62.4,0.003998467219396642,https://leetcode.com/problems/rearrange-string-k-distance-apart,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
MEDIUM,Permutations,62.4,0.00822614357089496,https://leetcode.com/problems/permutations,"Array, Backtracking"
EASY,Move Zeroes,62.4,0.006426546102342037,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
MEDIUM,Combination Sum,62.4,0.007700597939330188,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Search a 2D Matrix II,62.4,0.005790459660375592,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
MEDIUM,Merge Intervals,62.4,0.005257666929298673,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Container With Most Water,62.4,0.006064834109539502,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
HARD,Russian Doll Envelopes,62.4,0.0038121788673260632,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting, Longest Increasing Subsequence"
MEDIUM,Using a Robot to Print the Lexicographically Smallest String,62.4,0.006219613337069207,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,"Hash Table, String, Stack, Greedy"
MEDIUM,Find the Safest Path in a Grid,62.4,0.0057349690108531625,https://leetcode.com/problems/find-the-safest-path-in-a-grid,"Array, Binary Search, Breadth-First Search, Union-Find, Heap (Priority Queue), Matrix"
MEDIUM,Maximum Xor Product,62.4,0.00305721499182135,https://leetcode.com/problems/maximum-xor-product,"Math, Greedy, Bit Manipulation"
