Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,LRU Cache,100.0,0.004786906189866565,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
EASY,Remove One Element to Make the Array Strictly Increasing,97.7,0.003068861077013396,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing,Array
EASY,Alternating Digit Sum,92.4,0.006958424507658644,https://leetcode.com/problems/alternating-digit-sum,Math
MEDIUM,Partition Equal Subset Sum,89.3,0.004989080491842923,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming, Knapsack Problem, 0-1 Knapsack"
EASY,Subtree of Another Tree,89.3,0.0052046924853527,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
HARD,Minimum Window Subsequence,89.3,0.00438490652194912,https://leetcode.com/problems/minimum-window-subsequence,"String, Dynamic Programming, Sliding Window"
EASY,Binary Gap,89.3,0.007439934303144063,https://leetcode.com/problems/binary-gap,Bit Manipulation
HARD,Design Skiplist,89.3,0.00597750917992656,https://leetcode.com/problems/design-skiplist,"Linked List, Design"
MEDIUM,Minimize Maximum Pair Sum in Array,89.3,0.008326409840150777,https://leetcode.com/problems/minimize-maximum-pair-sum-in-array,"Array, Two Pointers, Greedy, Sorting"
MEDIUM,Spiral Matrix,89.3,0.005762717036266193,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
EASY,Two Sum,85.8,0.005800952869674154,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Number of Islands,81.7,0.006496066084233955,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union-Find, Matrix"
MEDIUM,Open the Lock,76.9,0.0061504463466027825,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search, Bidirectional Search"
HARD,Binary Tree Cameras,76.9,0.004807813330861584,https://leetcode.com/problems/binary-tree-cameras,"Dynamic Programming, Tree, Depth-First Search, Binary Tree, DP on Trees"
MEDIUM,"Pow(x, n)",76.9,0.003917072532108564,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,Set Matrix Zeroes,76.9,0.006348234182335819,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Merge Intervals,76.9,0.005257666929298673,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Top K Frequent Elements,76.9,0.006713903706760046,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
HARD,Reverse Pairs,76.9,0.003498693249118572,https://leetcode.com/problems/reverse-pairs,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set, Treap"
MEDIUM,Longest Palindromic Substring,71.0,0.0038471229639906878,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Valid Parentheses,71.0,0.004472573332822307,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Group Anagrams,71.0,0.007312908556871405,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Word Ladder,71.0,0.004632635353783337,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search, Bidirectional Search"
MEDIUM,Course Schedule,71.0,0.005204037697036237,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
MEDIUM,Matchsticks to Square,71.0,0.004219603831558837,https://leetcode.com/problems/matchsticks-to-square,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
MEDIUM,Time Based Key-Value Store,71.0,0.005012881182275648,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
EASY,Sort Array By Parity,71.0,0.007662645293974975,https://leetcode.com/problems/sort-array-by-parity,"Array, Two Pointers, Sorting"
MEDIUM,Maximal Square,71.0,0.005074676265817781,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
MEDIUM,Minimize Result by Adding Parentheses to Expression,71.0,0.006833432978596199,https://leetcode.com/problems/minimize-result-by-adding-parentheses-to-expression,"String, Enumeration"
MEDIUM,Longest Substring Without Repeating Characters,63.5,0.003977960853023439,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
HARD,Reconstruct Itinerary,63.5,0.004489984860287465,https://leetcode.com/problems/reconstruct-itinerary,"Array, String, Depth-First Search, Graph Theory, Sorting, Heap (Priority Queue), Eulerian Circuit, Eulerian Path, Semi-Eulerian Graph"
EASY,Valid Palindrome II,63.5,0.004461397771844857,https://leetcode.com/problems/valid-palindrome-ii,"Two Pointers, String, Greedy"
MEDIUM,Rotting Oranges,63.5,0.005927631509613915,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
MEDIUM,Sort Colors,63.5,0.00701687896034263,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
MEDIUM,Shortest Unsorted Continuous Subarray,63.5,0.0038532152456056358,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,"Array, Two Pointers, Stack, Greedy, Sorting, Monotonic Stack"
MEDIUM,Interleaving String,63.5,0.004457170550462421,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,Jump Game II,63.5,0.00433596028858502,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Restore the Array From Adjacent Pairs,63.5,0.007512462897809968,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,"Array, Hash Table, Depth-First Search"
MEDIUM,Word Search,63.5,0.004794692487327825,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,3Sum,63.5,0.003969330143153006,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Decode String,63.5,0.006309059424580802,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Block Placement Queries,63.5,0.004141530323533029,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree, Ordered Set"
HARD,Merge k Sorted Lists,52.9,0.0060294156550450475,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort, Tournament Sort"
MEDIUM,Best Time to Buy and Sell Stock II,52.9,0.007150183840562247,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,Kth Largest Element in an Array,52.9,0.0069243704640186985,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
MEDIUM,Design a Stack With Increment Operation,52.9,0.007991446259744815,https://leetcode.com/problems/design-a-stack-with-increment-operation,"Array, Stack, Design"
MEDIUM,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,52.9,0.005791952251105004,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
MEDIUM,Generate Parentheses,52.9,0.007906622637287967,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking, Bracket Sequences"
MEDIUM,Nearest Exit from Entrance in Maze,52.9,0.004903734468465419,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze,"Array, Breadth-First Search, Matrix"
MEDIUM,Find Peak Element,52.9,0.0047140637470464266,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Repeated Substring Pattern,52.9,0.004865482715734446,https://leetcode.com/problems/repeated-substring-pattern,"String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm"
MEDIUM,Walls and Gates,52.9,0.006414171113931028,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
EASY,Palindrome Linked List,52.9,0.005860792948852937,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Clone Graph,52.9,0.0065979937939416415,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph Theory"
HARD,Sudoku Solver,52.9,0.006558603787809422,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix, Algorithm X, Dancing Links"
MEDIUM,Product of Array Except Self,52.9,0.0069164586043501276,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
HARD,Find Median from Data Stream,52.9,0.005487692969052594,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
MEDIUM,Alternating Groups II,52.9,0.005994989407755366,https://leetcode.com/problems/alternating-groups-ii,"Array, Sliding Window"
HARD,Alien Dictionary,52.9,0.0037286700299575914,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph Theory, Topological Sort, Directed Acyclic Graph"
HARD,Substring with Concatenation of All Words,52.9,0.0035003460137465595,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
MEDIUM,Spiral Matrix II,52.9,0.0075661709558741954,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
HARD,Median of Two Sorted Arrays,52.9,0.004736988837266392,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
MEDIUM,String Compression,52.9,0.006060183350478085,https://leetcode.com/problems/string-compression,"Two Pointers, String"
MEDIUM,Search in Rotated Sorted Array,52.9,0.004546233546369227,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
