Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Minimum Total Cost to Make Arrays Unequal,100.0,0.004153083359157111,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal,"Array, Hash Table, Greedy, Counting"
MEDIUM,Two Best Non-Overlapping Events,97.2,0.006394894503777025,https://leetcode.com/problems/two-best-non-overlapping-events,"Array, Binary Search, Dynamic Programming, Sorting, Heap (Priority Queue)"
MEDIUM,Most Beautiful Item for Each Query,97.2,0.006204684755391112,https://leetcode.com/problems/most-beautiful-item-for-each-query,"Array, Binary Search, Sorting"
MEDIUM,Shortest Subarray to be Removed to Make Array Sorted,97.2,0.0051308723133302436,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,"Array, Two Pointers, Binary Search, Stack, Monotonic Stack"
MEDIUM,LRU Cache,90.4,0.004786905499388411,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
MEDIUM,Decode String,86.1,0.006309063115833288,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
MEDIUM,Merge Intervals,64.5,0.005257669728522977,https://leetcode.com/problems/merge-intervals,"Array, Sorting, Quicksort"
MEDIUM,Rotate Array,64.5,0.0045320039813999645,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,First Unique Character in a String,64.5,0.006611211017063519,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
MEDIUM,Unique Paths,64.5,0.0067173202775224865,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
HARD,Smallest Good Base,64.5,0.004711680151249757,https://leetcode.com/problems/smallest-good-base,"Math, Binary Search"
