Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,First Missing Positive,100.0,0.004354295602124145,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
EASY,Roman to Integer,90.5,0.006704949123919925,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,Longest Palindromic Substring,83.8,0.0038471227859268303,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Two Sum,79.6,0.005800953280581267,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Consecutive Sequence,74.3,0.004720840040638763,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Merge Sorted Array,74.3,0.005552799368134116,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
MEDIUM,Kth Smallest Element in a BST,74.3,0.00772149073433681,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Palindrome Number,74.3,0.006087452557144396,https://leetcode.com/problems/palindrome-number,Math
EASY,Remove Duplicates from Sorted Array,74.3,0.006356316503010876,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
MEDIUM,Container With Most Water,67.6,0.0060648329891500995,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Rank Transform of an Array,67.6,0.007397510881283871,https://leetcode.com/problems/rank-transform-of-an-array,"Array, Hash Table, Sorting"
MEDIUM,Find Peak Element,67.6,0.004714062884520206,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Find the Peaks,67.6,0.007510793727549047,https://leetcode.com/problems/find-the-peaks,"Array, Enumeration"
EASY,Maximum Product of Three Numbers,67.6,0.004822238496120953,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
EASY,Find Missing Elements,67.6,0.00885678877443599,https://leetcode.com/problems/find-missing-elements,"Array, Hash Table, Sorting"
EASY,Fibonacci Number,58.2,0.007452183753315725,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
MEDIUM,Longest Substring Without Repeating Characters,58.2,0.0039779602483841275,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Group Anagrams,58.2,0.007312909440565698,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
EASY,Best Time to Buy and Sell Stock,58.2,0.005725131942916545,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Minimum Number of Operations to Reinitialize a Permutation,58.2,0.007275028629980109,https://leetcode.com/problems/minimum-number-of-operations-to-reinitialize-a-permutation,"Array, Math, Simulation"
EASY,Reverse String,58.2,0.008119745421389914,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
EASY,Valid Anagram,58.2,0.006853252249460113,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Peak Index in a Mountain Array,58.2,0.006670388984878148,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search, Ternary Search"
EASY,Valid Palindrome,58.2,0.005407059558393915,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
MEDIUM,Second Highest Salary,58.2,0.004798864905168074,https://leetcode.com/problems/second-highest-salary,Database
