Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Rank Transform of an Array,100.0,0.007397510881283871,https://leetcode.com/problems/rank-transform-of-an-array,"Array, Hash Table, Sorting"
MEDIUM,Container With Most Water,94.0,0.0060648329891500995,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Two Sum,92.2,0.005800953280581267,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,First Missing Positive,92.2,0.004354295602124145,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
MEDIUM,Integer to Roman,90.3,0.007149614241189617,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,Longest Palindromic Substring,85.9,0.0038471227859268303,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Roman to Integer,85.9,0.006704949123919925,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
EASY,Fibonacci Number,83.4,0.007452183753315725,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
EASY,First Unique Character in a String,73.7,0.006611211017063519,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
EASY,Palindrome Number,73.7,0.006087452557144396,https://leetcode.com/problems/palindrome-number,Math
HARD,Largest Rectangle in Histogram,73.7,0.005066388636457454,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack, Range Minimum/Maximum Query"
EASY,Valid Anagram,69.4,0.006853252249460113,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Second Highest Salary,69.4,0.004798864905168074,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Longest Substring Without Repeating Characters,69.4,0.0039779602483841275,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Longest Consecutive Sequence,69.4,0.004720840040638763,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union-Find"
EASY,Merge Sorted Array,69.4,0.005552799368134116,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
EASY,Longest Common Prefix,64.1,0.00481871947020729,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Reverse String,64.1,0.008119745421389914,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
MEDIUM,Group Anagrams,64.1,0.007312909440565698,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
MEDIUM,Kth Smallest Element in a BST,64.1,0.00772149073433681,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
EASY,Best Time to Buy and Sell Stock,64.1,0.005725131942916545,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Maximum Product of Three Numbers,64.1,0.004822238496120953,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
EASY,Remove Duplicates from Sorted Array,64.1,0.006356316503010876,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers"
EASY,Minimum Depth of Binary Tree,57.2,0.005358069731263154,https://leetcode.com/problems/minimum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Palindrome Linked List,57.2,0.005860794527916439,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
MEDIUM,Rotate Array,57.2,0.0045320039813999645,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
EASY,Contains Duplicate II,57.2,0.005178515934942329,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
MEDIUM,3Sum,57.2,0.003969333169129394,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Maximum Average Subarray I,57.2,0.004890182577527902,https://leetcode.com/problems/maximum-average-subarray-i,"Array, Sliding Window"
MEDIUM,Two Sum II - Input Array Is Sorted,57.2,0.006568604544236371,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,"Array, Two Pointers, Binary Search"
EASY,Valid Parentheses,57.2,0.0044725746270324485,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
MEDIUM,Sort Colors,57.2,0.00701687947777083,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting, Quicksort, Bubble Sort"
EASY,Reverse Linked List,57.2,0.008094213822303388,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
MEDIUM,Find Peak Element,57.2,0.004714062884520206,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
EASY,Find the Peaks,57.2,0.007510793727549047,https://leetcode.com/problems/find-the-peaks,"Array, Enumeration"
EASY,Valid Palindrome,57.2,0.005407059558393915,https://leetcode.com/problems/valid-palindrome,"Two Pointers, String"
EASY,Find Missing Elements,57.2,0.00885678877443599,https://leetcode.com/problems/find-missing-elements,"Array, Hash Table, Sorting"
MEDIUM,Peak Index in a Mountain Array,57.2,0.006670388984878148,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search, Ternary Search"
MEDIUM,Maximum Subarray,47.7,0.005373551755769059,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Maximum Total Subarray Value I,47.7,0.007195635855254012,https://leetcode.com/problems/maximum-total-subarray-value-i,"Array, Greedy"
MEDIUM,House Robber,47.7,0.005350270489266872,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
EASY,Maximum Depth of Binary Tree,47.7,0.00785225090709592,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Maximum Ice Cream Bars,47.7,0.007725319465551463,https://leetcode.com/problems/maximum-ice-cream-bars,"Array, Greedy, Sorting, Counting Sort"
HARD,Median of Two Sorted Arrays,47.7,0.004736991593236258,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
