Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Friday Purchases I,100.0,0.008117333333333332,https://leetcode.com/problems/friday-purchases-i,Database
EASY,Two Sum,80.7,0.005800953280581267,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,76.7,0.0038471227859268303,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Palindrome Number,75.3,0.006087452557144396,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Maximum Subarray,66.6,0.005373551755769059,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
EASY,Majority Element,66.6,0.006648700306026431,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
EASY,Move Zeroes,66.6,0.006426546601212049,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,65.5,0.005725131942916545,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Longest Common Prefix,61.6,0.00481871947020729,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Find the Index of the First Occurrence in a String,61.6,0.004716738046069461,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,"Two Pointers, String, String Matching, Z Algorithm, Knuth–Morris–Pratt Algorithm, Boyer–Moore String-Search Algorithm"
EASY,Valid Parentheses,60.1,0.0044725746270324485,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
EASY,Single Number,60.1,0.007815798890894527,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
MEDIUM,Second Highest Salary,60.1,0.004798864905168074,https://leetcode.com/problems/second-highest-salary,Database
MEDIUM,Subarray Sum Equals K,60.1,0.004798003728124528,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
MEDIUM,Jump Game,58.4,0.004138484116549974,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
EASY,Contains Duplicate,58.4,0.006462916919969621,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
