Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Friday Purchases I,100.0,0.008117333333333332,https://leetcode.com/problems/friday-purchases-i,Database
EASY,Two Sum,89.0,0.005800953280581267,https://leetcode.com/problems/two-sum,"Array, Hash Table"
MEDIUM,Longest Palindromic Substring,82.0,0.0038471227859268303,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming, Manacher"
EASY,Palindrome Number,80.0,0.006087452557144396,https://leetcode.com/problems/palindrome-number,Math
MEDIUM,Maximum Subarray,73.6,0.005373551755769059,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
MEDIUM,Container With Most Water,72.0,0.0060648329891500995,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
EASY,Move Zeroes,72.0,0.006426546601212049,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
EASY,Best Time to Buy and Sell Stock,70.3,0.005725131942916545,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
EASY,Longest Common Prefix,68.5,0.00481871947020729,https://leetcode.com/problems/longest-common-prefix,"Array, String, Trie"
EASY,Rank Transform of an Array,67.5,0.007397510881283871,https://leetcode.com/problems/rank-transform-of-an-array,"Array, Hash Table, Sorting"
EASY,Majority Element,66.4,0.006648700306026431,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting, Boyer–Moore Majority Vote Algorithm"
MEDIUM,Second Highest Salary,66.4,0.004798864905168074,https://leetcode.com/problems/second-highest-salary,Database
EASY,Valid Anagram,66.4,0.006853252249460113,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
MEDIUM,Longest Substring Without Repeating Characters,64.1,0.0039779602483841275,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
EASY,Roman to Integer,64.1,0.006704949123919925,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
MEDIUM,3Sum,64.1,0.003969333169129394,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
EASY,Valid Parentheses,64.1,0.0044725746270324485,https://leetcode.com/problems/valid-parentheses,"String, Stack, Bracket Sequences"
HARD,First Missing Positive,64.1,0.004354295602124145,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
