category,difficulty,title,company_tags,accuracy,url
Circular Linked List,Basic,Circular Linked List Traversal,Cisco,59.94%,https://www.geeksforgeeks.org/problems/circular-linked-list-traversal/1
Circular Linked List,Easy,Check If Circular Linked List,"MAQ Software, Microsoft, SAP Labs",54.26%,https://www.geeksforgeeks.org/problems/circular-linked-list/1
Circular Linked List,Easy,Split a Linked List Into Halves,Yahoo,61.63%,https://www.geeksforgeeks.org/problems/split-a-circular-linked-list-into-two-halves/1
Circular Linked List,Easy,Insert at End of Circular Linked List,,83.94%,https://www.geeksforgeeks.org/problems/insert-node-at-last-in-circular-linked-list/1
Circular Linked List,Easy,Create Circular Linked List With Given Array,,89.33%,https://www.geeksforgeeks.org/problems/create-circular-linked-list-with-given-array/1
Circular Linked List,Medium,Insert in Sorted Circular Linked List,"Amazon, Microsoft, Zoho",25.56%,https://www.geeksforgeeks.org/problems/sorted-insert-for-circular-linked-list/1
Circular Linked List,Medium,Deletion in Circular Linked List,Intuit,60.70%,https://www.geeksforgeeks.org/problems/deletion-and-reverse-in-linked-list/1
Circular Linked List,Medium,Lucky Alive Person in a Circle,,59.96%,https://www.geeksforgeeks.org/problems/lucky-alive-person-in-a-circle1229/1
Circular Linked List,Medium,Reverse Circular Linked List,NPCI,83.15%,https://www.geeksforgeeks.org/problems/reverse-the-circular-linked-list/1
Circular Linked List,Medium,Implementation of Deque using doubly linked list,,59.61%,https://www.geeksforgeeks.org/problems/implementation-of-deque-using-doubly-linked-list/1
