category,difficulty,title,company_tags,accuracy,url
DFS,Easy,DFS of Graph,"Accolite, Amazon, Intuit, +1",63.07%,https://www.geeksforgeeks.org/problems/depth-first-traversal-for-a-graph/1
DFS,Easy,Path Exists,NPCI,62.52%,https://www.geeksforgeeks.org/problems/path-exists/1
DFS,Easy,Minimum number of edges between two vertices,NPCI,29.49%,https://www.geeksforgeeks.org/problems/minimum-number-of-edges-between-two-vertices/1
DFS,Medium,Undirected Graph Cycle,"Adobe, Amazon, Flipkart, +4",30.13%,https://www.geeksforgeeks.org/problems/detect-cycle-in-an-undirected-graph/1
DFS,Medium,Count Islands,"Amazon, Citrix, D-E-Shaw, +18",42.12%,https://www.geeksforgeeks.org/problems/find-the-number-of-islands/1
DFS,Medium,Bipartite Graph,"Flipkart, Microsoft, Samsung",31.25%,https://www.geeksforgeeks.org/problems/bipartite-graph/1
DFS,Medium,Number of Connected Components,"Amazon, Google, Microsoft",54.29%,https://www.geeksforgeeks.org/problems/number-of-provinces/1
DFS,Medium,Flood fill Algorithm,"Google, Microsoft, NPCI",41.11%,https://www.geeksforgeeks.org/problems/flood-fill-algorithm1856/1
DFS,Medium,Number of Distinct Islands,,62.29%,https://www.geeksforgeeks.org/problems/number-of-distinct-islands/1
DFS,Medium,Check for Path in a 2D Grid with Obstacles,"Adobe, Amazon, Microsoft, +2",45.09%,https://www.geeksforgeeks.org/problems/find-whether-path-exist5238/1
DFS,Medium,1s Surrounded by 0s,Google,50.93%,https://www.geeksforgeeks.org/problems/1s-surrounded-by-0s/1
DFS,Medium,Course Schedule II,Google,51.77%,https://www.geeksforgeeks.org/problems/course-schedule/1
DFS,Medium,Mother Vertex,,47.64%,https://www.geeksforgeeks.org/problems/mother-vertex/1
DFS,Medium,Word in Grid - All Occurrences,"Zoho, Flipkart, Amazon, +3",22.88%,https://www.geeksforgeeks.org/problems/find-the-string-in-grid0111/1
DFS,Medium,Towers Reaching Both Stations,,60.27%,https://www.geeksforgeeks.org/problems/geeks-island--170646/1
DFS,Medium,Check if two Nodes are Cousins,"Amazon, D-E-Shaw",25.99%,https://www.geeksforgeeks.org/problems/check-if-two-nodes-are-cousins/1
DFS,Medium,Max Alternating Sum Path to a Leaf,,64.05%,https://www.geeksforgeeks.org/problems/best-node--170647/1
DFS,Medium,Party in Town,,66.03%,https://www.geeksforgeeks.org/problems/party-in-town3951/1
DFS,Medium,BST Maximum Difference,,52.54%,https://www.geeksforgeeks.org/problems/bst-maximum-difference--170647/1
