category,difficulty,title,company_tags,accuracy,url
Doubly Linked List,Basic,Doubly Linked List Traversal,,68.93%,https://www.geeksforgeeks.org/problems/display-doubly-linked-list--154650/1
Doubly Linked List,Basic,Doubly Linked List Tail Insert,,84.78%,https://www.geeksforgeeks.org/problems/doubly-linked-list-tail-insert/1
Doubly Linked List,Basic,Circular Doubly Linked List Traversal,,74.56%,https://www.geeksforgeeks.org/problems/display-circular-doubly-linked-list/1
Doubly Linked List,Easy,Delete in a Doubly Linked List,"Amazon, Walmart",42.98%,https://www.geeksforgeeks.org/problems/delete-node-in-doubly-linked-list/1
Doubly Linked List,Easy,Reverse a Doubly Linked List,"Adobe, D-E-Shaw, NPCI",70.38%,https://www.geeksforgeeks.org/problems/reverse-a-doubly-linked-list/1
Doubly Linked List,Easy,Insertion in a Doubly Linked List,,47.13%,https://www.geeksforgeeks.org/problems/insert-a-node-in-doubly-linked-list/1
Doubly Linked List,Easy,Pair Sum in Sorted Doubly Linked List,,66.01%,https://www.geeksforgeeks.org/problems/find-pairs-with-given-sum-in-doubly-linked-list/1
Doubly Linked List,Easy,Doubly Linked List from an Array,,93.49%,https://www.geeksforgeeks.org/problems/create-a-doubly-linked-list-from-a-given-array/1
Doubly Linked List,Easy,Rotate Doubly Linked List,,74.54%,https://www.geeksforgeeks.org/problems/rotate-doubly-linked-list-by-p-nodes/1
Doubly Linked List,Easy,Check for Doubly or Circular,,58.63%,https://www.geeksforgeeks.org/problems/is-the-doubly-linked-list-circular/1
Doubly Linked List,Easy,Delete Head of Doubly Linked List,,84.07%,https://www.geeksforgeeks.org/problems/delete-head-of-doubly-linked-list/1
Doubly Linked List,Easy,Find Middle of Circular Doubly Linked List,,70.76%,https://www.geeksforgeeks.org/problems/find-middle-of-circular-doubly-linked-list/1
Doubly Linked List,Medium,Delete All Occurrences in DLL,,50.04%,https://www.geeksforgeeks.org/problems/delete-all-occurrences-of-a-given-key-in-a-doubly-linked-list/1
Doubly Linked List,Medium,Sorted Insert in DLL,,28.25%,https://www.geeksforgeeks.org/problems/insert-in-sorted-way-in-a-sorted-dll/1
Doubly Linked List,Medium,QuickSort on Doubly Linked List,HSBC,71.11%,https://www.geeksforgeeks.org/problems/quicksort-on-doubly-linked-list/1
Doubly Linked List,Hard,LRU Cache,"Adobe, Amazon, Flipkart, +15",18.44%,https://www.geeksforgeeks.org/problems/lru-cache/1
Doubly Linked List,Hard,Merge Sort on Doubly Linked List,,68.49%,https://www.geeksforgeeks.org/problems/merge-sort-on-doubly-linked-list/1
Doubly Linked List,Hard,LFU cache,,60.60%,https://www.geeksforgeeks.org/problems/lfu-cache-1665050355/1
