category,difficulty,title,company_tags,accuracy,url
Dynamic Programming,Basic,First n Fibonacci using Recursion,"Accenture, Infosys, TCS, +1",29.92%,https://www.geeksforgeeks.org/problems/print-first-n-fibonacci-numbers1002/1
Dynamic Programming,Basic,Sum Except First and Last,"Amazon, Microsoft",34.83%,https://www.geeksforgeeks.org/problems/max-length-chain/1
Dynamic Programming,Easy,Nth Fibonacci Number,"Adobe, Amazon, Goldman Sachs, +5",22.30%,https://www.geeksforgeeks.org/problems/nth-fibonacci-number1335/1
Dynamic Programming,Easy,Count ways with 3 moves,Amazon,43.93%,https://www.geeksforgeeks.org/problems/count-number-of-hops-1587115620/1
Dynamic Programming,Easy,"Minimum Coins of 1, 2, 5 and 10",Visa,51.25%,https://www.geeksforgeeks.org/problems/-minimum-number-of-coins4426/1
Dynamic Programming,Easy,Minimum Operations,,60.02%,https://www.geeksforgeeks.org/problems/find-optimum-operation4504/1
Dynamic Programming,Easy,First n Fibonacci using DP,Bloomberg,51.00%,https://www.geeksforgeeks.org/problems/fibonacci-series-up-to-nth-term/1
Dynamic Programming,Easy,"Count Ways with 3, 5 and 10",,79.23%,https://www.geeksforgeeks.org/problems/reach-a-given-score-1587115621/1
Dynamic Programming,Easy,Maximum Sum Problem,Morgan Stanley,57.09%,https://www.geeksforgeeks.org/problems/maximum-sum-problem2211/1
Dynamic Programming,Easy,Padovan Sequence,,34.96%,https://www.geeksforgeeks.org/problems/padovan-sequence2855/1
Dynamic Programming,Easy,Count Numbers with Digit 4,Drishti-Soft,37.85%,https://www.geeksforgeeks.org/problems/count-numbers-containing-43022/1
Dynamic Programming,Easy,Max Sum Pairing with Diff Less than K,,63.41%,https://www.geeksforgeeks.org/problems/pairs-with-specific-difference1533/1
Dynamic Programming,Easy,Max Subarray Sum for Values Limited by k,Junglee Games,50.00%,https://www.geeksforgeeks.org/problems/you-and-your-books/1
Dynamic Programming,Easy,Divisor Game,,70.69%,https://www.geeksforgeeks.org/problems/divisor-game-1664432414/1
Dynamic Programming,Easy,Chicks in a Zoo,,49.73%,https://www.geeksforgeeks.org/problems/chicks-in-a-zoo1159/1
Dynamic Programming,Easy,Minimum Deletions to Make Sorted,,49.53%,https://www.geeksforgeeks.org/problems/minimum-number-of-deletions-to-make-a-sorted-sequence3248/1
Dynamic Programming,Easy,Largest Zigzag Sequence,Directi,50.00%,https://www.geeksforgeeks.org/problems/largest-zigzag-sequence5416/1
Dynamic Programming,Easy,Minimum Steps to Make 1,,40.16%,https://www.geeksforgeeks.org/problems/minimum-steps-to-minimize-n-as-per-given-condition0618/1
Dynamic Programming,Easy,Maximum Sum Bitonic Subsequence,,51.40%,https://www.geeksforgeeks.org/problems/maximum-sum-bitonic-subsequence1857/1
Dynamic Programming,Easy,Max Sum in a Matrix without Adjacent,Epic Systems,47.66%,https://www.geeksforgeeks.org/problems/adjacents-are-not-allowed3528/1
Dynamic Programming,Easy,Lucas Number,,46.89%,https://www.geeksforgeeks.org/problems/lucas-number4515/1
Dynamic Programming,Easy,"Count ways to express N as the sum of 1,3 and 4",,33.75%,https://www.geeksforgeeks.org/problems/count-ways-to-express-n-as-the-sum-of-13-and-44024/1
Dynamic Programming,Easy,Charul and vessels,,26.37%,https://www.geeksforgeeks.org/problems/charul-and-vessels0209/1
Dynamic Programming,Easy,Minimum Moves to Sort Array,,30.08%,https://www.geeksforgeeks.org/problems/minimum-insertions-to-sort-an-array0535/1
Dynamic Programming,Easy,Optimal Walk,,22.06%,https://www.geeksforgeeks.org/problems/optimal-walk3752/1
Dynamic Programming,Easy,Sum of Digits from 1 to n,,33.95%,https://www.geeksforgeeks.org/problems/compute-sum-of-digits-in-all-numbers-from-1-to-n2855/1
Dynamic Programming,Easy,Minimum Steps with p or q Moves,,21.08%,https://www.geeksforgeeks.org/problems/minimum-steps1159/1
Dynamic Programming,Easy,Maximum of arr[j] – arr[i] + arr[l] – arr[k],,31.06%,https://www.geeksforgeeks.org/problems/maximum-value5946/1
Dynamic Programming,Easy,Longest Collatz Sequence,,22.19%,https://www.geeksforgeeks.org/problems/maximum-collatz-sequence-length5849/1
Dynamic Programming,Easy,Sum of Average of all Subsets,,25.38%,https://www.geeksforgeeks.org/problems/sum-of-average-of-all-subsets3209/1
Dynamic Programming,Easy,Geeky Year,,18.94%,https://www.geeksforgeeks.org/problems/geeky-year4720/1
Dynamic Programming,Easy,Minimum Adjustment Cost of an Array,,29.83%,https://www.geeksforgeeks.org/problems/find-minimum-adjustment-cost-of-an-array4628/1
Dynamic Programming,Easy,"Max Profit with Money Exchange using n/2, n/3, and n/4",,13.46%,https://www.geeksforgeeks.org/problems/ritikas-money4334/1
Dynamic Programming,Easy,Maximum weight transformation of a given string,,22.98%,https://www.geeksforgeeks.org/problems/maximum-weight-transformation-of-a-given-string3551/1
Dynamic Programming,Easy,Maximum Height Disc Stack,,20.15%,https://www.geeksforgeeks.org/problems/stacking-up-discs1315/1
Dynamic Programming,Medium,Kadane's Algorithm,"24*7 Innovation Labs, Accolite, Adobe, +21",36.28%,https://www.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/1
Dynamic Programming,Medium,Count Subsets with Sum,"Amazon, Microsoft, Tesco",20.58%,https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/1
Dynamic Programming,Medium,0 - 1 Knapsack Problem,"Amazon, Directi, Flipkart, +9",31.76%,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1
Dynamic Programming,Medium,Maximum Product Subarray,"Amazon, D-E-Shaw, Google, +4",18.09%,https://www.geeksforgeeks.org/problems/maximum-product-subarray3604/1
Dynamic Programming,Medium,Subset Sum Problem,"Amazon, Microsoft",32.00%,https://www.geeksforgeeks.org/problems/subset-sum-problem-1611555638/1
Dynamic Programming,Medium,Stickler Thief,"Adobe, Amazon, FactSet, +8",37.98%,https://www.geeksforgeeks.org/problems/stickler-theif-1587115621/1
Dynamic Programming,Medium,Ways to Reach the n'th Stair,"Accolite, Adobe, Amazon, +6",21.90%,https://www.geeksforgeeks.org/problems/count-ways-to-reach-the-nth-stair-1587115620/1
Dynamic Programming,Medium,Longest Increasing Subsequence,"Amazon, BankBazaar, Microsoft, +3",32.80%,https://www.geeksforgeeks.org/problems/longest-increasing-subsequence-1587115620/1
Dynamic Programming,Medium,nCr,,14.82%,https://www.geeksforgeeks.org/problems/ncr1019/1
