category,difficulty,title,company_tags,accuracy,url
Greedy,Basic,Last Coin in a Game of Alternates,,68.75%,https://www.geeksforgeeks.org/problems/last-coin-in-a-game-of-alternates/1
Greedy,Basic,Max Product Pair,"Amazon, Samsung",48.92%,https://www.geeksforgeeks.org/problems/maximum-product-of-two-numbers2730/1
Greedy,Basic,Good or Bad string,"Adobe, Amazon",27.94%,https://www.geeksforgeeks.org/problems/good-or-bad-string1417/1
Greedy,Basic,Message Spreading,,51.24%,https://www.geeksforgeeks.org/problems/message-spreading4258/1
Greedy,Basic,The Spider Steps,,45.96%,https://www.geeksforgeeks.org/problems/the-spider-steps3600/1
Greedy,Easy,Fractional Knapsack,Microsoft,32.46%,https://www.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1
Greedy,Easy,Stock Buy and Sell – Max one Transaction Allowed,"Accenture, Adobe, Amazon, +20",49.33%,https://www.geeksforgeeks.org/problems/buy-stock-2/1
Greedy,Easy,Maximum with n Digits and s Digit Sum,Accolite,20.26%,https://www.geeksforgeeks.org/problems/largest-number-possible5028/1
Greedy,Easy,Shop in Candy Store,,45.43%,https://www.geeksforgeeks.org/problems/shop-in-candy-store1145/1
Greedy,Easy,Minimize the sum of product,,56.91%,https://www.geeksforgeeks.org/problems/minimize-the-sum-of-product1525/1
Greedy,Easy,Check for Subsequence,"Accolite, Amazon, Tesco, +1",51.68%,https://www.geeksforgeeks.org/problems/given-two-strings-find-if-first-string-is-a-subsequence-of-second/1
Greedy,Easy,Maximum Count with Sum Limited to K,Microsoft,50.42%,https://www.geeksforgeeks.org/problems/maximize-toys0331/1
Greedy,Easy,Check for Survival on Island,,24.78%,https://www.geeksforgeeks.org/problems/check-if-it-is-possible-to-survive-on-island4922/1
Greedy,Easy,Seating Arrangement,,49.85%,https://www.geeksforgeeks.org/problems/seating-arrangement--170647/1
Greedy,Easy,Double the First and Make Second Zero,"Microsoft, Zoho",29.50%,https://www.geeksforgeeks.org/problems/ease-the-array0633/1
