category,difficulty,title,company_tags,accuracy,url
Number Theory,Basic,Sum of fifth powers of the first n natural numbers,,43.89%,https://www.geeksforgeeks.org/problems/sum-of-fifth-powers-of-the-first-n-natural-numbers3415/1
Number Theory,Basic,Sum of Divisors,,54.22%,https://www.geeksforgeeks.org/problems/sum-of-divisors3601/1
Number Theory,Basic,Common Divisors,,58.25%,https://www.geeksforgeeks.org/problems/common-divisors4712/1
Number Theory,Basic,Corner Digits Sum,,36.75%,https://www.geeksforgeeks.org/problems/corner-digits1317/1
Number Theory,Basic,Narcissistic Number,,49.55%,https://www.geeksforgeeks.org/problems/narcissistic-number4852/1
Number Theory,Basic,Sophie Germain Primes,,51.52%,https://www.geeksforgeeks.org/problems/sophie-germain-prime2014/1
Number Theory,Basic,Check for three consecutive numbers,,46.69%,https://www.geeksforgeeks.org/problems/check-for-three-consecutive-numbers5729/1
Number Theory,Basic,Nth Multiple in Fibonacci,,29.57%,https://www.geeksforgeeks.org/problems/nth-multiple/1
Number Theory,Basic,Count Unique Rectangles from n Unit Squares,,24.96%,https://www.geeksforgeeks.org/problems/number-of-unique-rectangles1849/1
Number Theory,Easy,Sum Of Digits,Drishti-Soft,67.08%,https://www.geeksforgeeks.org/problems/sum-of-digits1742/1
Number Theory,Easy,Summed Matrix,,46.76%,https://www.geeksforgeeks.org/problems/summed-matrix5834/1
Number Theory,Easy,Squares in N*N Chessboard,"Goldman Sachs, MAQ Software",66.14%,https://www.geeksforgeeks.org/problems/squares-in-nn-chessboard1801/1
Number Theory,Easy,Compare two fractions,,54.74%,https://www.geeksforgeeks.org/problems/compare-two-fractions4438/1
Number Theory,Easy,Minimum Number,,53.41%,https://www.geeksforgeeks.org/problems/minimum-number--170647/1
Number Theory,Easy,Ways to Break into 3 Numbers,,50.81%,https://www.geeksforgeeks.org/problems/break-a-number5913/1
Number Theory,Easy,Rectangles in N*N Board,"Goldman Sachs, VMWare",24.10%,https://www.geeksforgeeks.org/problems/rectangles-in-nn-board5930/1
Number Theory,Easy,Excel Column Number from Name,,58.66%,https://www.geeksforgeeks.org/problems/excel-sheet-part-21138/1
