category,difficulty,title,company_tags,accuracy,url
Searching,Basic,Array Search,,40.95%,https://www.geeksforgeeks.org/problems/search-an-element-in-an-array-1587115621/1
Searching,Basic,Binary Search,Paytm,48.03%,https://www.geeksforgeeks.org/problems/who-will-win-1587115621/1
Searching,Basic,Value equal to position,"Amazon, FactSet, Flipkart, +1",54.83%,https://www.geeksforgeeks.org/problems/value-equal-to-index-value1330/1
Searching,Basic,Last index of One,InMobi,49.01%,https://www.geeksforgeeks.org/problems/last-index-of-15847/1
Searching,Basic,Elements in the Range,Amazon,37.28%,https://www.geeksforgeeks.org/problems/elements-in-the-range2834/1
Searching,Basic,First 1 in a Sorted Binary Array,"Amazon, MakeMyTrip",49.11%,https://www.geeksforgeeks.org/problems/index-of-first-1-in-a-sorted-array-of-0s-and-1s4048/1
Searching,Basic,Remove Consonants,,22.63%,https://www.geeksforgeeks.org/problems/c-program-to-remove-consonants-from-a-string1945/1
Searching,Basic,Count zeros in a sorted matrix,,75.99%,https://www.geeksforgeeks.org/problems/count-zeros-in-a-sorted-matrix/1
Searching,Basic,Doubling the value,Flipkart,46.25%,https://www.geeksforgeeks.org/problems/doubling-the-value4859/1
Searching,Basic,Repeated Removal of Kth,,56.88%,https://www.geeksforgeeks.org/problems/ishaans-internship4400/1
Searching,Easy,Missing in Array,"Accolite, Adobe, Amazon, +12",29.59%,https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1
Searching,Easy,Second Largest,"Rockstand, SAP Labs",26.72%,https://www.geeksforgeeks.org/problems/second-largest3735/1
Searching,Easy,First Occurrence in Sorted,"Accenture, Cognizant, Infosys, +5",44.32%,https://www.geeksforgeeks.org/problems/binary-search-1587115620/1
Searching,Easy,Common in 3 Sorted Arrays,"MAQ Software, Microsoft, VMWare",22.16%,https://www.geeksforgeeks.org/problems/common-elements1132/1
Searching,Easy,Number of Occurrence,"Amazon, MakeMyTrip, Zoho",59.34%,https://www.geeksforgeeks.org/problems/number-of-occurrence2259/1
Searching,Easy,Square Root,"Accolite, Amazon, Flipkart, +2",54.03%,https://www.geeksforgeeks.org/problems/square-root/1
Searching,Easy,Find Kth Rotation,"ABCO, Amazon, Flipkart",23.16%,https://www.geeksforgeeks.org/problems/rotation4723/1
Searching,Easy,Find Transition Point,Amazon,37.90%,https://www.geeksforgeeks.org/problems/find-transition-point-1587115620/1
Searching,Easy,Bitonic Point,"Amazon, Flipkart, Microsoft",58.67%,https://www.geeksforgeeks.org/problems/maximum-value-in-a-bitonic-array3001/1
