category,difficulty,title,company_tags,accuracy,url
Sorting,Basic,At least Two Greater,Amazon,58.49%,https://www.geeksforgeeks.org/problems/at-least-two-greater-elements4625/1
Sorting,Basic,Triplet Family,Arcesium,50.00%,https://www.geeksforgeeks.org/problems/triplet-family/1
Sorting,Basic,Sort a String,,64.43%,https://www.geeksforgeeks.org/problems/sort-a-string2943/1
Sorting,Basic,Alternative Sorting,Zoho,50.20%,https://www.geeksforgeeks.org/problems/alternative-sorting1311/1
Sorting,Basic,Minimum Product of k Elements,,20.06%,https://www.geeksforgeeks.org/problems/minimum-product-of-k-integers2553/1
Sorting,Basic,Min Diff Pair,Amazon,57.34%,https://www.geeksforgeeks.org/problems/minimum-difference-pair5444/1
Sorting,Basic,Two Arrays with Same Elements,,50.36%,https://www.geeksforgeeks.org/problems/the-problem-of-identical-arrays3229/1
Sorting,Basic,Merge and Sort,,48.84%,https://www.geeksforgeeks.org/problems/merge-and-sort5821/1
Sorting,Basic,Min Pair Product Sum Rearrangement,,51.36%,https://www.geeksforgeeks.org/problems/minimize-sum-of-alternate-product2033/1
Sorting,Basic,Maximum Perimeter of Triangle from Array,,49.98%,https://www.geeksforgeeks.org/problems/maximum-perimeter-of-triangle-from-array4322/1
Sorting,Basic,Stable Sort and Position,,53.17%,https://www.geeksforgeeks.org/problems/stable-sort-and-position1359/1
Sorting,Easy,Floor in a Sorted Array,Amazon,33.75%,https://www.geeksforgeeks.org/problems/floor-in-a-sorted-array-1587115620/1
Sorting,Easy,Anagram,"Adobe, Directi, Flipkart, +3",44.93%,https://www.geeksforgeeks.org/problems/anagram-1587115620/1
Sorting,Easy,Check Sorted Array,,39.37%,https://www.geeksforgeeks.org/problems/check-if-an-array-is-sorted0701/1
Sorting,Easy,Bubble Sort,"Accenture, Cisco, Huawei, +5",59.33%,https://www.geeksforgeeks.org/problems/bubble-sort/1
Sorting,Easy,Pair With Difference,"Amazon, Visa",27.25%,https://www.geeksforgeeks.org/problems/find-pair-given-difference1559/1
Sorting,Easy,Max Value Permutation,SAP Labs,18.93%,https://www.geeksforgeeks.org/problems/maximize-arrii-of-an-array0026/1
Sorting,Easy,Insertion Sort,"Accenture, Cisco, Dell, +5",66.61%,https://www.geeksforgeeks.org/problems/insertion-sort/1
