category,difficulty,title,company_tags,accuracy,url
Tree,Basic,Preorder Traversal,"Amazon, Flipkart, Microsoft, +1",62.73%,https://www.geeksforgeeks.org/problems/preorder-traversal/1
Tree,Basic,Count Leaves in Binary Tree,"Ola Cabs, Samsung",76.44%,https://www.geeksforgeeks.org/problems/count-leaves-in-binary-tree/1
Tree,Basic,Size of Binary Tree,,82.91%,https://www.geeksforgeeks.org/problems/size-of-binary-tree/1
Tree,Basic,Sum of Binary Tree,FactSet,77.27%,https://www.geeksforgeeks.org/problems/sum-of-binary-tree/1
Tree,Basic,Count Internal Nodes in Tree,,56.79%,https://www.geeksforgeeks.org/problems/count-non-leaf-nodes-in-tree/1
Tree,Easy,Left View of Binary Tree,"Accolite, Adobe, Amazon, +12",33.74%,https://www.geeksforgeeks.org/problems/left-view-of-binary-tree/1
Tree,Easy,Balanced Tree Check,"Amazon, Microsoft, Walmart",43.15%,https://www.geeksforgeeks.org/problems/check-for-balanced-tree/1
Tree,Easy,Height of Binary Tree,"Amazon, Cadence India, CouponDunia, +11",78.58%,https://www.geeksforgeeks.org/problems/height-of-binary-tree/1
Tree,Easy,Identical Trees,"Amazon, Flipkart, Microsoft",50.01%,https://www.geeksforgeeks.org/problems/determine-if-two-trees-are-identical/1
Tree,Easy,Mirror Tree,"Accolite, Adobe, Amazon, +15",72.67%,https://www.geeksforgeeks.org/problems/mirror-tree/1
Tree,Easy,Inorder Traversal,"Adobe, Amazon, Snapdeal",67.15%,https://www.geeksforgeeks.org/problems/inorder-traversal/1
Tree,Easy,Right View of Binary Tree,"Accolite, Adobe, Amazon, +2",65.18%,https://www.geeksforgeeks.org/problems/right-view-of-binary-tree/1
Tree,Easy,Symmetric Tree,"Amazon, Microsoft",44.96%,https://www.geeksforgeeks.org/problems/symmetric-tree/1
Tree,Easy,Nodes Without Sibling,"Amazon, D-E-Shaw",18.01%,https://www.geeksforgeeks.org/problems/print-all-nodes-that-dont-have-sibling/1
Tree,Easy,Postorder Traversal,"Morgan Stanley, Snapdeal, Walmart",74.96%,https://www.geeksforgeeks.org/problems/postorder-traversal/1
Tree,Easy,Reverse Level Order Traversal,"Flipkart, Amazon, Microsoft, +3",62.26%,https://www.geeksforgeeks.org/problems/reverse-level-order-traversal/1
Tree,Easy,Root to Leaf Path Sum,"Accolite, Amazon, Microsoft, +8",40.79%,https://www.geeksforgeeks.org/problems/root-to-leaf-path-sum/1
Tree,Easy,Leaves at Same Level or Not,Amazon,39.47%,https://www.geeksforgeeks.org/problems/leaf-at-same-level/1
Tree,Easy,Transform to Sum Tree,"Amazon, Microsoft, Samsung, +2",70.50%,https://www.geeksforgeeks.org/problems/transform-to-sum-tree/1
Tree,Easy,Nodes at K Distance from Root,"Amazon, Microsoft, Samsung, +1",52.18%,https://www.geeksforgeeks.org/problems/k-distance-from-root/1
Tree,Easy,Maximum Width of Tree,"VMWare, Flipkart, Amazon",63.27%,https://www.geeksforgeeks.org/problems/maximum-width-of-tree/1
Tree,Easy,Level Order Line by Line,"Morgan Stanley, Amazon, Microsoft, +2",53.78%,https://www.geeksforgeeks.org/problems/level-order-traversal-line-by-line/1
Tree,Easy,Minimum Depth of a Binary Tree,"Amazon, Microsoft, Facebook",42.09%,https://www.geeksforgeeks.org/problems/minimum-depth-of-a-binary-tree/1
Tree,Easy,Introduction to Trees,,82.66%,https://www.geeksforgeeks.org/problems/introduction-to-trees/1
Tree,Easy,Max and Min in Binary Tree,,60.57%,https://www.geeksforgeeks.org/problems/max-and-min-element-in-binary-tree/1
Tree,Easy,Visit Leaves with Budget,Oracle,50.05%,https://www.geeksforgeeks.org/problems/leaf-under-budget/1
Tree,Easy,Largest Value of Every Level,Amazon,68.05%,https://www.geeksforgeeks.org/problems/largest-value-in-each-level/1
Tree,Easy,Remove Half Nodes,Amazon,59.67%,https://www.geeksforgeeks.org/problems/remove-half-nodes/1
Tree,Easy,Two Mirror Trees,"Amazon, D-E-Shaw, Hike",57.36%,https://www.geeksforgeeks.org/problems/two-mirror-trees/1
